Product_ID,Finishing_Category,Category,Subcategory,Product_Name,Brand,Material,Product_Type,Quality_Level,Quality_Score,Grade,Quality_Price_Band,Price_EGP,Unit,Quantity_Rule,Rule_Value,Required_For,Optional,Application,Specification,Ceiling_Type,Coats,Component,Coverage_m2,Coverage_m2_per_L,Door_Category,Door_Type,Electrical_Category,Finish,Floor_Type,Paint_Category,Paint_Type,Plumbing_Category,Power_W,Price_Outlier,Size,Size_cm,Source_File,Waste_Factor
P000011,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Knauf,Gypsum,,High,8.7,Not Applicable,High: > 285,311,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000012,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG,Gypsum,,Low,8.7,Not Applicable,Low: <= 234,222,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000013,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Knauf,Gypsum,,High,8.7,Not Applicable,High: > 285,293,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000014,Ceilings,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Gyproc,Gypsum,,Low,8.4,Not Applicable,Low: <= 234,212,Piece,Area_m2/Coverage,1.0,Reception,True,Reception,60x60 cm,Decorative Gypsum Ceiling,,Decorative Panel,0.36,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000015,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG Boral,Gypsum,,Medium,8.7,Not Applicable,Medium: 234 - 285,254,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000016,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG Boral,Gypsum,,High,8.7,Not Applicable,High: > 285,344,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000017,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Siniat,Gypsum,,Medium,8.7,Not Applicable,Medium: 234 - 285,240,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000018,Ceilings,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,USG Boral,Gypsum,,Medium,8.4,Not Applicable,Medium: 234 - 285,251,Piece,Area_m2/Coverage,1.0,Reception,True,Reception,60x60 cm,Decorative Gypsum Ceiling,,Decorative Panel,0.36,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000019,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Gyproc,Gypsum,,High,8.7,Not Applicable,High: > 285,347,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000020,Ceilings,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Knauf,Gypsum,,High,8.4,Not Applicable,High: > 285,305,Piece,Area_m2/Coverage,1.0,Reception,True,Reception,60x60 cm,Decorative Gypsum Ceiling,,Decorative Panel,0.36,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000021,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG Boral,Gypsum,,Low,8.7,Not Applicable,Low: <= 234,228,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000022,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG,Gypsum,,High,8.7,Not Applicable,High: > 285,344,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000023,Ceilings,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Knauf,Gypsum,,Low,8.4,Not Applicable,Low: <= 234,228,Piece,Area_m2/Coverage,1.0,Reception,True,Reception,60x60 cm,Decorative Gypsum Ceiling,,Decorative Panel,0.36,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000024,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Siniat,Gypsum,,High,8.7,Not Applicable,High: > 285,304,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000025,Ceilings,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Gyproc,Gypsum,,Low,8.4,Not Applicable,Low: <= 234,206,Piece,Area_m2/Coverage,1.0,Reception,True,Reception,60x60 cm,Decorative Gypsum Ceiling,,Decorative Panel,0.36,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000026,Ceilings,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,USG Boral,Gypsum,,Medium,8.4,Not Applicable,Medium: 234 - 285,279,Piece,Area_m2/Coverage,1.0,Reception,True,Reception,60x60 cm,Decorative Gypsum Ceiling,,Decorative Panel,0.36,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000027,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG Boral,Gypsum,,Medium,8.7,Not Applicable,Medium: 234 - 285,240,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000028,Ceilings,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,USG Boral,Gypsum,,Medium,8.4,Not Applicable,Medium: 234 - 285,283,Piece,Area_m2/Coverage,1.0,Reception,True,Reception,60x60 cm,Decorative Gypsum Ceiling,,Decorative Panel,0.36,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000029,Ceilings,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,USG,Gypsum,,High,8.4,Not Applicable,High: > 285,330,Piece,Area_m2/Coverage,1.0,Reception,True,Reception,60x60 cm,Decorative Gypsum Ceiling,,Decorative Panel,0.36,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000030,Ceilings,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Gyproc,Gypsum,,High,8.4,Not Applicable,High: > 285,293,Piece,Area_m2/Coverage,1.0,Reception,True,Reception,60x60 cm,Decorative Gypsum Ceiling,,Decorative Panel,0.36,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000031,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Knauf,Gypsum,,Medium,8.7,Not Applicable,Medium: 234 - 285,261,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000032,Ceilings,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Knauf,Gypsum,,Low,8.4,Not Applicable,Low: <= 234,225,Piece,Area_m2/Coverage,1.0,Reception,True,Reception,60x60 cm,Decorative Gypsum Ceiling,,Decorative Panel,0.36,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000033,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG,Gypsum,,Low,8.7,Not Applicable,Low: <= 234,224,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000034,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Siniat,Gypsum,,Low,8.7,Not Applicable,Low: <= 234,234,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000035,Ceilings,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Gyproc,Gypsum,,Medium,8.4,Not Applicable,Medium: 234 - 285,246,Piece,Area_m2/Coverage,1.0,Reception,True,Reception,60x60 cm,Decorative Gypsum Ceiling,,Decorative Panel,0.36,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000036,Ceilings,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Gyproc,Gypsum,,Medium,8.4,Not Applicable,Medium: 234 - 285,265,Piece,Area_m2/Coverage,1.0,Reception,True,Reception,60x60 cm,Decorative Gypsum Ceiling,,Decorative Panel,0.36,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000037,Ceilings,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Siniat,Gypsum,,Medium,8.4,Not Applicable,Medium: 234 - 285,240,Piece,Area_m2/Coverage,1.0,Reception,True,Reception,60x60 cm,Decorative Gypsum Ceiling,,Decorative Panel,0.36,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000038,Ceilings,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Gyproc,Gypsum,,Medium,8.4,Not Applicable,Medium: 234 - 285,244,Piece,Area_m2/Coverage,1.0,Reception,True,Reception,60x60 cm,Decorative Gypsum Ceiling,,Decorative Panel,0.36,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000039,Ceilings,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Gyproc,Gypsum,,Medium,8.4,Not Applicable,Medium: 234 - 285,241,Piece,Area_m2/Coverage,1.0,Reception,True,Reception,60x60 cm,Decorative Gypsum Ceiling,,Decorative Panel,0.36,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000040,Ceilings,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Gyproc,Gypsum,,Medium,8.4,Not Applicable,Medium: 234 - 285,257,Piece,Area_m2/Coverage,1.0,Reception,True,Reception,60x60 cm,Decorative Gypsum Ceiling,,Decorative Panel,0.36,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000041,Ceilings,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,USG,Gypsum,,Low,8.4,Not Applicable,Low: <= 234,195,Piece,Area_m2/Coverage,1.0,Reception,True,Reception,60x60 cm,Decorative Gypsum Ceiling,,Decorative Panel,0.36,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000042,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Siniat,Gypsum,,High,8.7,Not Applicable,High: > 285,321,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000043,Ceilings,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,USG,Gypsum,,Medium,8.4,Not Applicable,Medium: 234 - 285,285,Piece,Area_m2/Coverage,1.0,Reception,True,Reception,60x60 cm,Decorative Gypsum Ceiling,,Decorative Panel,0.36,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000044,Ceilings,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Knauf,Gypsum,,High,8.4,Not Applicable,High: > 285,339,Piece,Area_m2/Coverage,1.0,Reception,True,Reception,60x60 cm,Decorative Gypsum Ceiling,,Decorative Panel,0.36,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000045,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Siniat,Gypsum,,Low,8.7,Not Applicable,Low: <= 234,190,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000046,Ceilings,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Siniat,Gypsum,,High,8.4,Not Applicable,High: > 285,337,Piece,Area_m2/Coverage,1.0,Reception,True,Reception,60x60 cm,Decorative Gypsum Ceiling,,Decorative Panel,0.36,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000047,Ceilings,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,USG Boral,Gypsum,,High,8.4,Not Applicable,High: > 285,306,Piece,Area_m2/Coverage,1.0,Reception,True,Reception,60x60 cm,Decorative Gypsum Ceiling,,Decorative Panel,0.36,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000048,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG Boral,Gypsum,,Low,8.7,Not Applicable,Low: <= 234,209,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000049,Ceilings,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Siniat,Gypsum,,High,8.4,Not Applicable,High: > 285,336,Piece,Area_m2/Coverage,1.0,Reception,True,Reception,60x60 cm,Decorative Gypsum Ceiling,,Decorative Panel,0.36,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000050,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Siniat,Gypsum,,High,8.7,Not Applicable,High: > 285,287,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000051,Ceilings,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,USG Boral,Gypsum,,High,8.4,Not Applicable,High: > 285,299,Piece,Area_m2/Coverage,1.0,Reception,True,Reception,60x60 cm,Decorative Gypsum Ceiling,,Decorative Panel,0.36,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000052,Ceilings,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,USG Boral,Gypsum,,Medium,8.4,Not Applicable,Medium: 234 - 285,256,Piece,Area_m2/Coverage,1.0,Reception,True,Reception,60x60 cm,Decorative Gypsum Ceiling,,Decorative Panel,0.36,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000053,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Knauf,Gypsum,,Medium,8.7,Not Applicable,Medium: 234 - 285,258,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000054,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Gyproc,Gypsum,,High,8.7,Not Applicable,High: > 285,344,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000055,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG,Gypsum,,Low,8.7,Not Applicable,Low: <= 234,225,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000056,Ceilings,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,USG,Gypsum,,Low,8.4,Not Applicable,Low: <= 234,229,Piece,Area_m2/Coverage,1.0,Reception,True,Reception,60x60 cm,Decorative Gypsum Ceiling,,Decorative Panel,0.36,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000057,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG,Gypsum,,Low,8.7,Not Applicable,Low: <= 234,226,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000058,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Gyproc,Gypsum,,High,8.7,Not Applicable,High: > 285,322,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000059,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG,Gypsum,,Low,8.7,Not Applicable,Low: <= 234,215,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000060,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG,Gypsum,,High,8.7,Not Applicable,High: > 285,349,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000061,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Knauf,Gypsum,,High,8.7,Not Applicable,High: > 285,326,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000062,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG Boral,Gypsum,,Low,8.7,Not Applicable,Low: <= 234,234,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000063,Ceilings,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Knauf,Gypsum,,Medium,8.4,Not Applicable,Medium: 234 - 285,282,Piece,Area_m2/Coverage,1.0,Reception,True,Reception,60x60 cm,Decorative Gypsum Ceiling,,Decorative Panel,0.36,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000064,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Siniat,Gypsum,,Low,8.7,Not Applicable,Low: <= 234,220,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000065,Ceilings,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Siniat,Gypsum,,Low,8.4,Not Applicable,Low: <= 234,199,Piece,Area_m2/Coverage,1.0,Reception,True,Reception,60x60 cm,Decorative Gypsum Ceiling,,Decorative Panel,0.36,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000066,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG Boral,Gypsum,,Low,8.7,Not Applicable,Low: <= 234,227,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000067,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG,Gypsum,,High,8.7,Not Applicable,High: > 285,294,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000068,Ceilings,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Siniat,Gypsum,,Medium,8.4,Not Applicable,Medium: 234 - 285,270,Piece,Area_m2/Coverage,1.0,Reception,True,Reception,60x60 cm,Decorative Gypsum Ceiling,,Decorative Panel,0.36,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000069,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG Boral,Gypsum,,Low,8.7,Not Applicable,Low: <= 234,202,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000070,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG,Gypsum,,Medium,8.7,Not Applicable,Medium: 234 - 285,255,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000071,Ceilings,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,USG,Gypsum,,Medium,8.4,Not Applicable,Medium: 234 - 285,254,Piece,Area_m2/Coverage,1.0,Reception,True,Reception,60x60 cm,Decorative Gypsum Ceiling,,Decorative Panel,0.36,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000072,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG,Gypsum,,Low,8.7,Not Applicable,Low: <= 234,181,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000073,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Gyproc,Gypsum,,Medium,8.7,Not Applicable,Medium: 234 - 285,281,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000074,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG,Gypsum,,Medium,8.7,Not Applicable,Medium: 234 - 285,269,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
P000075,Ceilings,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG,Gypsum,,Low,8.7,Not Applicable,Low: <= 234,186,Sheet,Area_m2/Coverage,1.0,Ceiling,False,Full Ceiling,12.5 mm / 120x240 cm,Gypsum Board Ceiling,,Gypsum Board,2.88,,,,,,,,,,,False,,,ceilings_gypsum.csv,
