Finishing_Category,Brand,Ceiling_Type,Material,Component,Specification,Application,Coverage_m2,Quality_Level,Quality_Score,Unit,Quantity_Rule,Rule_Value,Required_For,Optional,Price_EGP,Category,Subcategory,Product_Name,Grade,Quality_Price_Band,Source_File,Price_Outlier
Ceilings,Gyproc,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,High,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,347,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,High: > 285,ceilings_gypsum.csv,False
Ceilings,Knauf,Decorative Gypsum Ceiling,Gypsum,Decorative Panel,60x60 cm,Reception,0.36,High,8.4,Piece,Area_m2/Coverage,1,Reception,True,305,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Not Applicable,High: > 285,ceilings_gypsum.csv,False
Ceilings,USG Boral,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,Low,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,228,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,Low: <= 234,ceilings_gypsum.csv,False
Ceilings,USG,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,High,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,344,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,High: > 285,ceilings_gypsum.csv,False
Ceilings,Knauf,Decorative Gypsum Ceiling,Gypsum,Decorative Panel,60x60 cm,Reception,0.36,Low,8.4,Piece,Area_m2/Coverage,1,Reception,True,228,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Not Applicable,Low: <= 234,ceilings_gypsum.csv,False
Ceilings,Siniat,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,High,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,304,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,High: > 285,ceilings_gypsum.csv,False
Ceilings,Gyproc,Decorative Gypsum Ceiling,Gypsum,Decorative Panel,60x60 cm,Reception,0.36,Low,8.4,Piece,Area_m2/Coverage,1,Reception,True,206,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Not Applicable,Low: <= 234,ceilings_gypsum.csv,False
Ceilings,USG Boral,Decorative Gypsum Ceiling,Gypsum,Decorative Panel,60x60 cm,Reception,0.36,Medium,8.4,Piece,Area_m2/Coverage,1,Reception,True,279,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Not Applicable,Medium: 234 - 285,ceilings_gypsum.csv,False
Ceilings,USG Boral,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,Medium,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,240,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,Medium: 234 - 285,ceilings_gypsum.csv,False
Ceilings,USG Boral,Decorative Gypsum Ceiling,Gypsum,Decorative Panel,60x60 cm,Reception,0.36,Medium,8.4,Piece,Area_m2/Coverage,1,Reception,True,283,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Not Applicable,Medium: 234 - 285,ceilings_gypsum.csv,False
Ceilings,USG,Decorative Gypsum Ceiling,Gypsum,Decorative Panel,60x60 cm,Reception,0.36,High,8.4,Piece,Area_m2/Coverage,1,Reception,True,330,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Not Applicable,High: > 285,ceilings_gypsum.csv,False
Ceilings,Gyproc,Decorative Gypsum Ceiling,Gypsum,Decorative Panel,60x60 cm,Reception,0.36,High,8.4,Piece,Area_m2/Coverage,1,Reception,True,293,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Not Applicable,High: > 285,ceilings_gypsum.csv,False
Ceilings,Knauf,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,Medium,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,261,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,Medium: 234 - 285,ceilings_gypsum.csv,False
Ceilings,Knauf,Decorative Gypsum Ceiling,Gypsum,Decorative Panel,60x60 cm,Reception,0.36,Low,8.4,Piece,Area_m2/Coverage,1,Reception,True,225,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Not Applicable,Low: <= 234,ceilings_gypsum.csv,False
Ceilings,USG,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,Low,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,224,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,Low: <= 234,ceilings_gypsum.csv,False
Ceilings,Siniat,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,Low,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,234,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,Low: <= 234,ceilings_gypsum.csv,False
Ceilings,Gyproc,Decorative Gypsum Ceiling,Gypsum,Decorative Panel,60x60 cm,Reception,0.36,Medium,8.4,Piece,Area_m2/Coverage,1,Reception,True,246,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Not Applicable,Medium: 234 - 285,ceilings_gypsum.csv,False
Ceilings,Gyproc,Decorative Gypsum Ceiling,Gypsum,Decorative Panel,60x60 cm,Reception,0.36,Medium,8.4,Piece,Area_m2/Coverage,1,Reception,True,265,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Not Applicable,Medium: 234 - 285,ceilings_gypsum.csv,False
Ceilings,Siniat,Decorative Gypsum Ceiling,Gypsum,Decorative Panel,60x60 cm,Reception,0.36,Medium,8.4,Piece,Area_m2/Coverage,1,Reception,True,240,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Not Applicable,Medium: 234 - 285,ceilings_gypsum.csv,False
Ceilings,Gyproc,Decorative Gypsum Ceiling,Gypsum,Decorative Panel,60x60 cm,Reception,0.36,Medium,8.4,Piece,Area_m2/Coverage,1,Reception,True,244,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Not Applicable,Medium: 234 - 285,ceilings_gypsum.csv,False
Ceilings,Gyproc,Decorative Gypsum Ceiling,Gypsum,Decorative Panel,60x60 cm,Reception,0.36,Medium,8.4,Piece,Area_m2/Coverage,1,Reception,True,241,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Not Applicable,Medium: 234 - 285,ceilings_gypsum.csv,False
Ceilings,Gyproc,Decorative Gypsum Ceiling,Gypsum,Decorative Panel,60x60 cm,Reception,0.36,Medium,8.4,Piece,Area_m2/Coverage,1,Reception,True,257,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Not Applicable,Medium: 234 - 285,ceilings_gypsum.csv,False
Ceilings,USG,Decorative Gypsum Ceiling,Gypsum,Decorative Panel,60x60 cm,Reception,0.36,Low,8.4,Piece,Area_m2/Coverage,1,Reception,True,195,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Not Applicable,Low: <= 234,ceilings_gypsum.csv,False
Ceilings,Siniat,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,High,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,321,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,High: > 285,ceilings_gypsum.csv,False
Ceilings,USG,Decorative Gypsum Ceiling,Gypsum,Decorative Panel,60x60 cm,Reception,0.36,Medium,8.4,Piece,Area_m2/Coverage,1,Reception,True,285,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Not Applicable,Medium: 234 - 285,ceilings_gypsum.csv,False
Ceilings,Knauf,Decorative Gypsum Ceiling,Gypsum,Decorative Panel,60x60 cm,Reception,0.36,High,8.4,Piece,Area_m2/Coverage,1,Reception,True,339,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Not Applicable,High: > 285,ceilings_gypsum.csv,False
Ceilings,Siniat,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,Low,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,190,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,Low: <= 234,ceilings_gypsum.csv,False
Ceilings,Siniat,Decorative Gypsum Ceiling,Gypsum,Decorative Panel,60x60 cm,Reception,0.36,High,8.4,Piece,Area_m2/Coverage,1,Reception,True,337,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Not Applicable,High: > 285,ceilings_gypsum.csv,False
Ceilings,USG Boral,Decorative Gypsum Ceiling,Gypsum,Decorative Panel,60x60 cm,Reception,0.36,High,8.4,Piece,Area_m2/Coverage,1,Reception,True,306,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Not Applicable,High: > 285,ceilings_gypsum.csv,False
Ceilings,USG Boral,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,Low,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,209,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,Low: <= 234,ceilings_gypsum.csv,False
Ceilings,Siniat,Decorative Gypsum Ceiling,Gypsum,Decorative Panel,60x60 cm,Reception,0.36,High,8.4,Piece,Area_m2/Coverage,1,Reception,True,336,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Not Applicable,High: > 285,ceilings_gypsum.csv,False
Ceilings,Siniat,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,High,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,287,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,High: > 285,ceilings_gypsum.csv,False
Ceilings,USG Boral,Decorative Gypsum Ceiling,Gypsum,Decorative Panel,60x60 cm,Reception,0.36,High,8.4,Piece,Area_m2/Coverage,1,Reception,True,299,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Not Applicable,High: > 285,ceilings_gypsum.csv,False
Ceilings,USG Boral,Decorative Gypsum Ceiling,Gypsum,Decorative Panel,60x60 cm,Reception,0.36,Medium,8.4,Piece,Area_m2/Coverage,1,Reception,True,256,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Not Applicable,Medium: 234 - 285,ceilings_gypsum.csv,False
Ceilings,Knauf,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,Medium,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,258,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,Medium: 234 - 285,ceilings_gypsum.csv,False
Ceilings,Gyproc,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,High,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,344,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,High: > 285,ceilings_gypsum.csv,False
Ceilings,USG,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,Low,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,225,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,Low: <= 234,ceilings_gypsum.csv,False
Ceilings,USG,Decorative Gypsum Ceiling,Gypsum,Decorative Panel,60x60 cm,Reception,0.36,Low,8.4,Piece,Area_m2/Coverage,1,Reception,True,229,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Not Applicable,Low: <= 234,ceilings_gypsum.csv,False
Ceilings,USG,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,Low,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,226,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,Low: <= 234,ceilings_gypsum.csv,False
Ceilings,Gyproc,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,High,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,322,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,High: > 285,ceilings_gypsum.csv,False
Ceilings,USG,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,Low,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,215,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,Low: <= 234,ceilings_gypsum.csv,False
Ceilings,USG,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,High,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,349,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,High: > 285,ceilings_gypsum.csv,False
Ceilings,Knauf,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,High,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,326,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,High: > 285,ceilings_gypsum.csv,False
Ceilings,USG Boral,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,Low,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,234,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,Low: <= 234,ceilings_gypsum.csv,False
Ceilings,Knauf,Decorative Gypsum Ceiling,Gypsum,Decorative Panel,60x60 cm,Reception,0.36,Medium,8.4,Piece,Area_m2/Coverage,1,Reception,True,282,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Not Applicable,Medium: 234 - 285,ceilings_gypsum.csv,False
Ceilings,Siniat,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,Low,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,220,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,Low: <= 234,ceilings_gypsum.csv,False
Ceilings,Siniat,Decorative Gypsum Ceiling,Gypsum,Decorative Panel,60x60 cm,Reception,0.36,Low,8.4,Piece,Area_m2/Coverage,1,Reception,True,199,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Not Applicable,Low: <= 234,ceilings_gypsum.csv,False
Ceilings,USG Boral,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,Low,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,227,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,Low: <= 234,ceilings_gypsum.csv,False
Ceilings,USG,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,High,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,294,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,High: > 285,ceilings_gypsum.csv,False
Ceilings,Siniat,Decorative Gypsum Ceiling,Gypsum,Decorative Panel,60x60 cm,Reception,0.36,Medium,8.4,Piece,Area_m2/Coverage,1,Reception,True,270,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Not Applicable,Medium: 234 - 285,ceilings_gypsum.csv,False
Ceilings,USG Boral,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,Low,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,202,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,Low: <= 234,ceilings_gypsum.csv,False
Ceilings,USG,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,Medium,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,255,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,Medium: 234 - 285,ceilings_gypsum.csv,False
Ceilings,USG,Decorative Gypsum Ceiling,Gypsum,Decorative Panel,60x60 cm,Reception,0.36,Medium,8.4,Piece,Area_m2/Coverage,1,Reception,True,254,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Not Applicable,Medium: 234 - 285,ceilings_gypsum.csv,False
Ceilings,USG,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,Low,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,181,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,Low: <= 234,ceilings_gypsum.csv,False
Ceilings,Gyproc,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,Medium,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,281,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,Medium: 234 - 285,ceilings_gypsum.csv,False
Ceilings,USG,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,Medium,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,269,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,Medium: 234 - 285,ceilings_gypsum.csv,False
Ceilings,USG,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,Low,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,186,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,Low: <= 234,ceilings_gypsum.csv,False
Ceilings,Knauf,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,Medium,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,264,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,Medium: 234 - 285,ceilings_gypsum.csv,False
Ceilings,Gyproc,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,Medium,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,263,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,Medium: 234 - 285,ceilings_gypsum.csv,False
Ceilings,Siniat,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,Low,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,199,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,Low: <= 234,ceilings_gypsum.csv,False
Ceilings,Knauf,Decorative Gypsum Ceiling,Gypsum,Decorative Panel,60x60 cm,Reception,0.36,High,8.4,Piece,Area_m2/Coverage,1,Reception,True,344,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Not Applicable,High: > 285,ceilings_gypsum.csv,False
Ceilings,USG Boral,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,Low,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,214,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,Low: <= 234,ceilings_gypsum.csv,False
Ceilings,Gyproc,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,Low,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,191,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,Low: <= 234,ceilings_gypsum.csv,False
Ceilings,USG,Decorative Gypsum Ceiling,Gypsum,Decorative Panel,60x60 cm,Reception,0.36,Medium,8.4,Piece,Area_m2/Coverage,1,Reception,True,274,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Not Applicable,Medium: 234 - 285,ceilings_gypsum.csv,False
Ceilings,USG,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,Medium,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,274,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,Medium: 234 - 285,ceilings_gypsum.csv,False
Ceilings,USG Boral,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,High,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,330,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,High: > 285,ceilings_gypsum.csv,False
Ceilings,Siniat,Gypsum Board Ceiling,Gypsum,Gypsum Board,12.5 mm / 120x240 cm,Full Ceiling,2.88,High,8.7,Sheet,Area_m2/Coverage,1,Ceiling,False,308,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Not Applicable,High: > 285,ceilings_gypsum.csv,False
Ceilings,USG,Decorative Gypsum Ceiling,Gypsum,Decorative Panel,60x60 cm,Reception,0.36,Low,8.4,Piece,Area_m2/Coverage,1,Reception,True,184,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Not Applicable,Low: <= 234,ceilings_gypsum.csv,False
