Apartment_Area_m2,Rooms,Bathrooms,Master_Bathrooms,Balconies,Receptions,Finishing_Level,Ceilings_Quality,Doors_Quality,Electrical_Basic_Quality,Electrical_Finishing_Quality,Flooring_Quality,Paints_Quality,Plumbing_Quality,Sanitary_Quality,Include_Reception_Ceiling_Upgrade,Include_Reception_Chandelier,Include_Master_Bathroom_Upgrade,Plumbing_System,Total_Finishing_Cost_EGP
135.4,3,1,1,0,1,Low,Low,Medium,Low,Medium,Low,Low,Low,Medium,0,0,0,PPR Pipes,235981.49
109.9,3,2,1,2,1,Medium,Medium,Medium,Medium,High,Medium,Low,High,Low,0,1,1,PVC Pipes,224920.41
73.8,2,1,1,2,1,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,High,1,0,1,PVC Pipes,174068.07
148.1,4,2,1,1,1,Low,Medium,Medium,Medium,Low,Low,Low,Low,Low,0,0,0,PPR Pipes,292877.53
102.9,3,1,1,1,1,High,High,High,High,Medium,High,Medium,Medium,Medium,1,1,1,PVC Pipes,234753.39
200.0,5,3,1,2,1,Medium,Medium,Medium,Low,Medium,High,Medium,Medium,Low,1,1,1,PVC Pipes,433062.44
113.7,3,2,1,2,1,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,1,1,0,PVC Pipes,257750.98
77.4,2,1,1,1,1,High,High,High,High,High,High,High,Medium,Medium,0,1,1,PVC Pipes,175661.44
137.4,3,2,1,0,1,Low,Medium,Low,Low,Low,Low,Low,Medium,Low,0,0,1,PVC Pipes,244816.25
92.6,2,1,1,1,1,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,1,1,0,PVC Pipes,206251.63
86.2,2,1,1,0,1,Low,Low,Low,Medium,Low,Low,Medium,Low,Medium,0,0,0,PPR Pipes,148538.0
113.1,3,2,1,0,1,High,High,Medium,Medium,High,High,High,High,High,1,1,1,PVC Pipes,288959.47
129.5,3,1,1,0,1,High,Medium,High,High,High,Medium,High,Medium,High,0,1,1,PVC Pipes,235015.89
109.0,3,1,1,1,1,Medium,Medium,Low,Medium,Low,Medium,Medium,Medium,Medium,1,1,0,PVC Pipes,222141.42
71.3,2,1,1,0,1,High,High,Medium,High,Medium,High,High,Medium,High,1,1,1,PVC Pipes,183301.58
89.3,2,1,1,1,1,Medium,Medium,High,Medium,Low,Medium,Medium,High,Medium,1,0,1,PVC Pipes,189145.33
71.1,2,1,1,1,1,High,Medium,High,Medium,Medium,Medium,High,High,High,1,1,1,PVC Pipes,182887.29
117.3,3,2,1,0,1,High,High,High,High,High,High,High,High,High,1,1,1,PVC Pipes,288175.43
148.6,4,2,1,1,1,High,High,High,Medium,High,Medium,Medium,High,High,1,0,1,PVC Pipes,330933.74
163.4,4,2,1,1,1,High,High,Medium,High,High,High,High,High,Medium,1,0,1,PVC Pipes,360090.05
57.5,1,1,1,1,1,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,High,0,0,0,PPR Pipes,121703.32
155.4,4,1,1,3,1,Low,Medium,Low,Medium,Low,Low,Medium,Low,Low,0,0,0,PPR Pipes,278377.91
119.7,3,2,1,1,1,Low,Low,Low,Medium,Low,Low,Low,Medium,Medium,0,0,0,PVC Pipes,228588.3
50.5,1,1,1,1,1,High,High,High,High,High,High,High,High,High,1,1,1,PVC Pipes,143491.72
112.5,3,1,1,2,1,Low,Low,Low,Low,Low,Low,Low,Low,Medium,0,0,0,PPR Pipes,194166.07
150.5,4,1,1,1,1,Low,Low,Low,Low,Low,Medium,Low,Low,Medium,0,0,0,PPR Pipes,254853.94
113.4,3,2,1,1,1,High,Medium,High,High,High,High,Medium,High,Medium,0,1,1,PVC Pipes,234994.1
107.5,3,1,1,2,1,Low,Low,Low,Medium,Medium,Medium,Low,Medium,Medium,0,0,0,PVC Pipes,194066.87
81.3,2,1,1,1,1,Medium,Medium,Low,Medium,Medium,Low,Medium,Medium,High,0,0,1,PVC Pipes,158477.37
143.7,4,2,1,3,1,Low,Medium,Low,Low,Medium,Low,Low,Low,Medium,0,0,1,PVC Pipes,259952.49
172.1,4,2,1,1,1,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,0,0,0,PVC Pipes,280588.32
120.0,3,2,1,1,1,Low,Low,Low,Low,Low,Low,Low,Low,Medium,0,0,0,PPR Pipes,212699.19
136.8,4,1,1,1,1,High,High,Medium,High,Medium,High,High,High,Medium,1,1,1,PVC Pipes,309705.56
80.6,2,1,1,1,1,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,1,1,0,PVC Pipes,204674.66
128.3,4,2,1,3,1,High,High,High,High,High,High,High,High,High,1,1,0,PVC Pipes,319530.65
111.2,3,1,1,2,1,High,High,Medium,High,High,High,High,High,Medium,1,1,1,PVC Pipes,262396.96
144.2,3,2,1,1,1,Medium,Low,Medium,Medium,Medium,Medium,High,Medium,High,0,0,1,PVC Pipes,281882.31
193.7,5,3,1,1,1,Low,Low,Medium,Low,Low,Low,Medium,Low,Low,0,0,0,PVC Pipes,359741.05
117.3,3,1,1,1,1,High,High,High,High,Medium,High,High,High,Medium,1,1,1,PVC Pipes,270616.24
107.3,3,1,1,1,1,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,0,1,0,PVC Pipes,201475.98
123.7,3,2,1,1,1,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,0,0,0,PVC Pipes,229108.03
91.0,2,1,1,0,1,Medium,Medium,High,High,Medium,Medium,Medium,Medium,Low,0,1,0,PVC Pipes,161582.2
172.4,4,2,1,2,1,Low,Low,Low,Low,Medium,Low,Low,Medium,Low,0,0,0,PVC Pipes,312916.19
103.1,3,2,1,3,1,High,Medium,High,High,Medium,High,Medium,High,High,1,1,1,PVC Pipes,265501.57
64.6,1,1,1,2,1,Medium,Low,Medium,Low,Medium,Medium,Low,Medium,Medium,0,0,0,PVC Pipes,133478.99
148.5,4,2,1,1,1,High,Medium,Medium,High,High,Medium,High,Medium,Medium,1,1,1,PVC Pipes,341918.33
125.3,3,1,1,1,1,Medium,Medium,Medium,Medium,Low,Medium,Medium,Low,Medium,0,0,0,PPR Pipes,221453.07
131.9,3,2,1,2,1,High,Medium,High,Medium,Medium,High,High,High,High,1,1,1,PVC Pipes,316775.66
132.5,3,1,1,0,1,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,1,1,0,PVC Pipes,260140.83
53.4,1,1,1,1,1,Low,Low,Medium,Low,Low,Low,Low,Medium,Medium,0,0,1,PVC Pipes,115957.55
131.7,3,2,1,2,1,Low,Low,Low,Medium,Medium,Medium,Low,Low,Low,0,0,0,PPR Pipes,234062.69
110.0,3,1,1,2,1,Medium,Low,Low,Medium,Low,Medium,Medium,Low,Medium,1,0,1,PPR Pipes,222752.06
109.9,3,2,1,1,1,Low,Low,Low,Low,Low,Medium,Low,Low,Low,0,0,0,PPR Pipes,218863.58
206.7,5,3,1,2,2,Low,Low,Low,Low,Low,Low,Medium,Low,Low,0,0,0,PPR Pipes,360591.97
143.6,3,2,1,3,1,High,High,High,High,Medium,Medium,Medium,Medium,High,1,1,1,PVC Pipes,363538.99
56.6,1,1,1,1,1,High,Medium,High,High,High,High,High,High,Medium,1,1,0,PVC Pipes,137957.97
113.1,3,2,1,1,1,High,High,High,High,Medium,High,High,High,High,1,0,1,PVC Pipes,300448.72
67.5,1,1,1,1,1,Low,Medium,Medium,Low,Low,Low,Low,Low,Medium,0,0,0,PPR Pipes,135291.86
130.8,3,2,1,1,1,Low,Low,Low,Medium,Low,Medium,Low,Medium,Medium,0,0,0,PVC Pipes,235751.24
176.2,4,2,1,1,1,High,High,High,Medium,High,Medium,Medium,High,High,0,1,0,PVC Pipes,337846.77
79.0,2,1,1,2,1,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,High,0,1,1,PVC Pipes,165685.14
194.5,5,3,1,3,1,Medium,Medium,Medium,Low,High,Medium,Medium,Medium,High,0,0,1,PVC Pipes,397438.8
119.8,3,1,1,2,1,Medium,Medium,Medium,Medium,Medium,Low,Medium,High,Medium,0,1,1,PVC Pipes,218168.57
90.2,2,1,1,1,1,Low,Low,Medium,Medium,Medium,Medium,Low,Low,Low,0,0,0,PPR Pipes,171247.67
130.9,3,1,1,2,1,Low,Medium,Low,Low,Medium,Low,Low,Low,Low,0,0,0,PPR Pipes,213452.98
115.4,3,2,1,2,1,Medium,Medium,Low,High,Low,Medium,Medium,Medium,Medium,0,0,0,PVC Pipes,225241.22
161.2,4,1,1,2,1,Medium,Medium,Low,Medium,High,Medium,Medium,Medium,Medium,0,1,0,PVC Pipes,294473.09
65.8,2,1,1,1,1,Low,Low,Low,Low,Medium,Low,Medium,Medium,Low,0,0,0,PVC Pipes,138917.02
126.7,3,1,1,1,1,Low,Low,Medium,Low,Medium,Medium,Low,Low,Medium,0,0,1,PVC Pipes,230363.03
125.9,3,2,1,2,1,Medium,Low,Medium,Medium,High,Low,High,Medium,Medium,0,1,1,PVC Pipes,251457.34
85.4,2,1,1,1,1,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,0,0,0,PVC Pipes,173121.64
121.4,3,2,1,3,1,Low,Medium,Low,Low,Medium,Low,Medium,Medium,Medium,1,0,0,PVC Pipes,261491.97
63.6,1,1,1,2,1,High,High,High,Medium,Medium,High,High,High,Medium,1,1,1,PVC Pipes,169085.02
127.4,3,2,1,1,1,Low,Medium,Medium,Low,Low,Low,Medium,Low,Low,0,0,0,PPR Pipes,232960.32
161.6,4,2,1,1,1,High,High,Medium,High,High,High,High,Medium,High,1,1,1,PVC Pipes,373205.05
73.9,2,1,1,0,1,Low,Medium,Low,Low,Low,Medium,Low,Low,Low,0,0,0,PPR Pipes,136377.09
102.5,2,1,1,1,1,High,Medium,Medium,Medium,High,High,High,Medium,High,1,1,1,PVC Pipes,227502.06
105.8,2,1,1,1,1,High,High,High,Medium,High,Medium,High,Medium,High,1,1,1,PVC Pipes,248731.08
120.3,3,2,1,1,1,High,Medium,High,High,Medium,High,High,High,High,1,1,1,PVC Pipes,279275.77
135.7,4,2,1,3,1,Medium,High,Low,Medium,Medium,Medium,Medium,Medium,Medium,0,0,1,PVC Pipes,274516.25
97.0,3,2,1,1,1,Low,Low,Low,Low,Low,Low,Low,Low,Low,0,0,0,PPR Pipes,181275.51
62.5,2,1,1,0,1,High,High,High,High,High,High,High,High,High,1,1,1,PVC Pipes,171095.54
167.0,4,2,1,1,1,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,1,0,0,PVC Pipes,330915.67
158.9,4,2,1,3,1,Low,Low,Low,Low,Low,Medium,Low,Low,Medium,0,0,0,PPR Pipes,276121.73
139.1,3,2,1,2,1,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,0,1,0,PVC Pipes,284879.97
89.2,2,1,1,1,1,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Medium,0,1,0,PVC Pipes,183487.36
150.0,4,2,1,3,1,Low,Medium,Low,Low,Low,Medium,Medium,Low,Low,0,0,1,PPR Pipes,293448.75
211.4,5,3,1,3,2,Low,Low,Low,Low,Low,Medium,Low,Low,Medium,0,0,0,PPR Pipes,367808.73
120.1,3,1,1,1,1,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,1,1,1,PVC Pipes,249291.06
202.9,5,3,1,2,1,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,1,1,1,PVC Pipes,425020.17
110.2,3,1,1,3,1,High,High,High,High,High,High,Medium,High,Medium,1,1,1,PVC Pipes,253426.26
113.5,3,1,1,1,1,Low,Medium,Low,Low,Medium,Medium,Medium,Low,Low,1,0,0,PVC Pipes,223819.02
131.7,3,2,1,2,1,Medium,Medium,Medium,Low,High,Medium,High,Medium,Medium,0,0,1,PVC Pipes,255483.95
71.4,2,1,1,0,1,Medium,Low,Medium,High,Low,High,Medium,High,High,1,0,0,PVC Pipes,149224.23
141.5,3,2,1,1,1,Low,Low,Medium,Low,Low,Low,Low,Low,Medium,0,0,0,PPR Pipes,265157.18
94.2,2,1,1,1,1,Medium,Medium,High,High,High,Low,Medium,Medium,Medium,0,0,0,PVC Pipes,185818.03
114.2,3,2,1,1,1,Medium,Medium,Low,High,Medium,Medium,High,Medium,Medium,0,1,1,PVC Pipes,240589.76
102.7,3,2,1,1,1,Low,Low,Low,Low,Low,Low,Low,Low,Low,0,0,0,PPR Pipes,189423.92
152.4,4,1,1,3,1,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,0,1,1,PVC Pipes,264860.76
88.6,2,1,1,1,1,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,0,1,0,PVC Pipes,163221.01
158.6,4,2,1,1,1,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,1,0,0,PVC Pipes,354271.29
168.0,4,2,1,1,1,High,High,High,Medium,Medium,High,High,High,High,1,1,1,PVC Pipes,396139.04
116.2,3,1,1,1,1,High,High,Medium,High,High,High,High,High,Medium,1,1,1,PVC Pipes,278285.04
64.7,1,1,1,1,1,Medium,Medium,Medium,Low,Low,Medium,Medium,Low,Medium,1,0,1,PPR Pipes,148783.0
138.6,3,1,1,1,1,Low,Low,Low,Low,Low,Medium,Low,Low,Low,0,0,0,PPR Pipes,236765.59
119.2,3,2,1,1,1,High,High,Medium,High,High,High,High,Medium,High,1,1,0,PVC Pipes,278739.42
105.5,3,2,1,1,1,Low,Medium,Medium,Medium,Low,Low,Low,Low,Low,0,0,0,PPR Pipes,203449.5
80.6,2,1,1,1,1,Low,Low,Low,Medium,Low,Medium,Medium,Low,Medium,0,0,0,PPR Pipes,154040.25
157.8,4,2,1,3,1,Low,Low,Low,Low,Low,Low,Low,Medium,Low,0,0,1,PVC Pipes,300331.33
86.9,2,1,1,0,1,Low,Low,Low,Low,Medium,Low,Medium,Low,Low,0,0,0,PPR Pipes,159878.32
117.6,3,1,1,0,1,Low,Medium,Low,Low,Medium,Low,Low,Low,Low,0,0,0,PVC Pipes,208070.73
75.0,2,1,1,0,1,High,Medium,High,Medium,High,High,High,High,High,1,1,1,PVC Pipes,182918.21
67.0,2,1,1,2,1,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,1,1,1,PVC Pipes,177245.04
94.9,2,1,1,1,1,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,1,1,0,PVC Pipes,203327.2
117.1,3,2,1,3,1,Low,Low,Low,Medium,Low,Low,Low,Low,Medium,0,0,0,PPR Pipes,236523.02
60.9,2,1,1,1,1,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,High,0,0,1,PVC Pipes,147037.85
161.9,4,1,1,2,1,Medium,Medium,Medium,Low,Low,Medium,Medium,Medium,Low,0,0,0,PVC Pipes,263103.03
80.7,2,1,1,0,1,Low,Low,Medium,Medium,Low,Low,Medium,Low,Low,0,0,1,PPR Pipes,156947.17
50.0,1,1,1,1,1,High,High,Medium,High,High,High,High,Medium,High,0,1,1,PVC Pipes,122635.36
93.0,2,1,1,1,1,High,Medium,High,High,Medium,High,High,High,High,0,0,1,PVC Pipes,190880.83
166.8,4,2,1,1,1,Medium,Medium,Medium,Medium,Medium,Medium,Low,High,Medium,0,0,0,PVC Pipes,276009.29
71.6,2,1,1,1,1,Low,Medium,Low,Low,Low,Medium,Low,Medium,Low,0,0,1,PVC Pipes,143137.01
96.3,3,2,1,1,1,High,Medium,Medium,High,High,High,Medium,Medium,High,1,1,0,PVC Pipes,240693.61
65.0,2,1,1,0,1,Medium,Low,High,Medium,Medium,High,Medium,High,Medium,0,0,0,PVC Pipes,127730.96
113.7,3,1,1,1,1,High,High,High,Medium,High,High,High,Medium,High,1,1,1,PVC Pipes,258393.76
87.4,1,1,1,0,1,Medium,Medium,Medium,Medium,High,Low,Medium,Medium,Medium,0,1,1,PVC Pipes,159312.03
86.6,2,1,1,1,1,High,Medium,High,Medium,High,Medium,High,High,High,1,1,1,PVC Pipes,196275.34
196.7,5,3,1,3,1,High,High,High,High,High,High,Medium,High,High,1,1,1,PVC Pipes,482098.06
82.2,2,1,1,1,1,Medium,High,Medium,Medium,Low,Medium,Low,Medium,High,1,0,1,PVC Pipes,180203.82
50.0,1,1,1,0,1,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Low,1,0,0,PVC Pipes,118622.97
121.1,3,2,1,1,1,Low,Low,Low,Low,Low,Low,Low,Medium,Low,0,0,0,PVC Pipes,217338.88
205.1,5,3,1,3,1,Low,Low,Medium,Medium,Low,Low,Low,Low,Low,0,0,0,PPR Pipes,383049.41
205.6,5,2,1,1,2,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,High,0,1,1,PVC Pipes,366048.8
115.1,3,1,1,2,1,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,0,1,1,PVC Pipes,240114.72
114.3,3,2,1,1,1,Low,Medium,Low,Medium,Low,Low,Low,Low,Medium,0,0,0,PPR Pipes,214928.87
69.6,1,1,1,0,1,Medium,Medium,Low,Medium,Medium,High,Medium,Medium,Medium,1,1,0,PVC Pipes,134674.08
158.3,4,2,1,2,1,High,High,Medium,High,Medium,High,Medium,High,High,1,1,1,PVC Pipes,339830.18
77.9,2,1,1,2,1,High,High,Medium,Medium,High,High,High,High,High,1,1,1,PVC Pipes,206580.5
116.8,3,2,1,2,1,Medium,Low,Medium,Medium,Medium,High,High,Medium,Medium,0,0,0,PVC Pipes,238943.94
159.4,4,2,1,1,1,High,High,High,High,High,High,Medium,Medium,Medium,1,1,1,PVC Pipes,346402.88
121.9,3,2,1,1,1,Low,Medium,Low,Low,Low,Low,Medium,Medium,Medium,0,0,0,PVC Pipes,233180.67
89.8,2,1,1,0,1,Medium,Low,Low,Low,Medium,Medium,Medium,Medium,Medium,1,1,0,PVC Pipes,179844.24
158.4,4,1,1,1,1,Medium,Low,Low,Medium,Medium,Medium,Low,Medium,Medium,1,0,0,PVC Pipes,282190.06
144.5,4,2,1,3,1,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,0,0,0,PVC Pipes,281986.26
76.3,2,1,1,2,1,Low,Low,Low,Low,Low,Low,Low,Medium,Low,1,0,0,PVC Pipes,164400.89
93.6,3,2,1,3,1,Medium,Medium,Medium,Medium,High,Low,Medium,High,Low,0,0,1,PVC Pipes,209317.96
85.2,2,1,1,1,1,Low,Low,Low,Low,Low,Low,Low,Medium,Low,0,0,0,PVC Pipes,156157.48
114.7,3,2,1,1,1,High,High,High,High,High,High,High,High,High,1,1,1,PVC Pipes,284172.21
91.4,2,1,1,1,1,Medium,Medium,Medium,Low,Medium,Medium,Medium,High,Medium,1,0,0,PVC Pipes,191276.84
85.4,2,1,1,0,1,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,0,0,0,PVC Pipes,162689.35
