Finishing_Category,Category,Subcategory,Product_Name,Brand,Quality_Level,Price_EGP,Unit,Quantity_Rule,Rule_Value,Required_For,Optional
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Ceramica Cleopatra,High,8229,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,GROHE,Medium,6781,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,Roca,High,9800,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,GROHE,Medium,6215,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,GROHE,High,9572,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Ceramica Cleopatra,Low,4080,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,Roca,High,8705,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,Roca,High,7740,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,Ceramica Cleopatra,Low,4557,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,GROHE,Low,4600,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,GROHE,High,9126,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,Ceramica Cleopatra,Medium,7371,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Ideal Standard,Low,3885,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,Ideal Standard,Medium,6275,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,Ideal Standard,Medium,6442,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,GROHE,High,9641,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,Ceramica Cleopatra,High,10640,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,Ceramica Cleopatra,High,8600,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Pedestal,Wash Basin,Ideal Standard,Low,3389,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,Roca,High,8385,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,GROHE,Medium,6744,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,Lecico,Medium,5050,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,Ceramica Cleopatra,Medium,6352,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,Ideal Standard,High,10738,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,Roca,High,7572,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Roca,High,7693,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,Roca,High,9217,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,GROHE,Medium,6296,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Lecico,Medium,7198,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Pedestal,Wash Basin,GROHE,Low,4029,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,GROHE,Medium,5286,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,Roca,High,7698,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,Ceramica Cleopatra,High,10498,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,Roca,High,8450,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Roca,High,7968,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,GROHE,Medium,6115,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,Lecico,High,8034,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,Ceramica Cleopatra,High,9399,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Pedestal,Wash Basin,Lecico,Low,2422,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Lecico,Medium,6818,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,Roca,High,8639,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Ceramica Cleopatra,Low,3866,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,Ceramica Cleopatra,High,10060,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Pedestal,Wash Basin,Lecico,Low,1997,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Pedestal,Wash Basin,Roca,Low,2927,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,GROHE,Medium,5556,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,Roca,High,9702,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Roca,Medium,5955,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,GROHE,Medium,6442,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,GROHE,High,9952,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,Roca,Medium,6822,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Pedestal,Wash Basin,Lecico,Low,4060,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Pedestal,Wash Basin,GROHE,Low,2816,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,GROHE,Medium,5703,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Ceramica Cleopatra,Medium,5827,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Pedestal,Wash Basin,Lecico,Low,2176,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,GROHE,Medium,5972,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,Ceramica Cleopatra,Medium,6246,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,GROHE,Medium,7466,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,Roca,High,8612,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,Roca,Low,4695,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,Lecico,High,7662,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,Ideal Standard,Medium,7240,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,Roca,High,9980,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Ideal Standard,Medium,7299,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Ceramica Cleopatra,High,7742,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Pedestal,Wash Basin,Ideal Standard,Low,3245,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,Ceramica Cleopatra,High,7886,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,Ideal Standard,Medium,6764,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Ceramica Cleopatra,High,7994,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Pedestal,Wash Basin,Lecico,Low,2440,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,Ideal Standard,High,8498,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Pedestal,Wash Basin,Ceramica Cleopatra,Low,2873,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,Roca,Medium,6119,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,Ceramica Cleopatra,High,9009,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,Lecico,High,9028,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,Lecico,Low,4719,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Ceramica Cleopatra,High,7761,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,Roca,Medium,7180,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,GROHE,High,7823,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Pedestal,Wash Basin,Roca,Low,2756,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Pedestal,Wash Basin,Roca,Low,2160,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Ceramica Cleopatra,Low,4343,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,GROHE,Low,4258,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Roca,Medium,7499,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Pedestal,Wash Basin,Ideal Standard,Low,2056,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,Lecico,High,9734,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,Roca,High,10171,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Lecico,Low,4604,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Pedestal,Wash Basin,Ideal Standard,Low,2675,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,Ideal Standard,Medium,6410,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Pedestal,Wash Basin,Ideal Standard,Low,3671,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,Ideal Standard,High,10115,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,Ceramica Cleopatra,High,8375,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,Lecico,Medium,6414,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Pedestal,Wash Basin,Ideal Standard,Low,3946,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,Roca,High,8539,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Ideal Standard,High,7636,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Pedestal,Wash Basin,Ceramica Cleopatra,Low,2814,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,Lecico,High,10284,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Ceramica Cleopatra,Medium,6107,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,Ceramica Cleopatra,Medium,6986,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Pedestal,Wash Basin,Ideal Standard,Low,2071,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,Roca,Medium,6588,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Ideal Standard,High,8345,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Lecico,Medium,7354,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,Ceramica Cleopatra,Medium,6919,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Pedestal,Wash Basin,Lecico,Low,3242,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Lecico,High,7828,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Ideal Standard,Medium,7468,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Pedestal,Wash Basin,Ideal Standard,Low,4081,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Pedestal,Wash Basin,Roca,Low,4015,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,GROHE,Medium,7374,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,Roca,Medium,6791,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Pedestal,Wash Basin,Lecico,Low,3692,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Pedestal,Wash Basin,Ideal Standard,Low,3641,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Lecico,Medium,7113,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,GROHE,Low,4868,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Lecico,Low,4966,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Pedestal,Wash Basin,Ceramica Cleopatra,Low,2079,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Pedestal,Wash Basin,Ideal Standard,Low,2360,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,Ideal Standard,Low,4774,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Pedestal,Wash Basin,Lecico,Low,1840,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Pedestal,Wash Basin,Lecico,Low,2992,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,Lecico,Medium,6866,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,GROHE,Medium,5341,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,Roca,Medium,5389,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Pedestal,Wash Basin,Ceramica Cleopatra,Low,3774,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,Ideal Standard,Medium,7088,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Pedestal,Wash Basin,Lecico,Low,3610,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,Ceramica Cleopatra,Medium,6172,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,Roca,Medium,7376,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,Lecico,Low,5004,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Pedestal,Wash Basin,Ideal Standard,Low,3139,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Ceramica Cleopatra,Medium,5640,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,Ideal Standard,High,8215,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Roca,Medium,6116,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Lecico,High,7869,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,Ideal Standard,Medium,7372,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,Ideal Standard,High,10469,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,GROHE,High,10264,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Pedestal,Wash Basin,Ceramica Cleopatra,Low,2975,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Ceramica Cleopatra,Medium,6733,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,GROHE,High,10717,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,GROHE,Medium,6150,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,GROHE,High,8250,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,Lecico,Medium,6367,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,Ceramica Cleopatra,High,9704,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,Ideal Standard,High,8113,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Lecico,Medium,6011,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,GROHE,Medium,6027,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,Lecico,High,9020,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Lecico,Low,4509,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Ceramica Cleopatra,Medium,7242,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,GROHE,High,10888,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Pedestal,Wash Basin,Lecico,Low,2624,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Ceramica Cleopatra,Medium,7051,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Pedestal,Wash Basin,Ceramica Cleopatra,Low,2383,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Ideal Standard,Low,4952,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,Ideal Standard,Medium,5230,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,Ceramica Cleopatra,High,8220,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Roca,High,7855,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,Ideal Standard,Medium,5347,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Lecico,Medium,5139,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Lecico,Medium,7500,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,GROHE,Medium,5677,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,Roca,Low,4978,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Pedestal,Wash Basin,Ideal Standard,Low,3346,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Pedestal,Wash Basin,Lecico,Low,2671,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,GROHE,High,10597,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Pedestal,Wash Basin,GROHE,Low,3324,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,Ideal Standard,Medium,5529,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,Ideal Standard,Medium,7148,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,GROHE,High,7636,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Lecico,Medium,5594,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Floor Mounted,Close Coupled Toilet,Roca,Low,4482,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Pedestal,Wash Basin,Roca,Low,2389,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Pedestal,Wash Basin,GROHE,Low,2588,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Pedestal,Wash Basin,Ceramica Cleopatra,Low,3529,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Pedestal,Wash Basin,Ideal Standard,Low,2808,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Rain Shower,Rain Shower,Ideal Standard,Medium,7113,Set,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Sliding Cabin,Shower Cabin,Ideal Standard,High,8185,Piece,Per_Master_Bathroom,1,Master Bathroom,True
Sanitary Ware,Sanitary,Pedestal,Wash Basin,GROHE,Low,3438,Piece,Per_Bathroom,1,Bathroom,False
Sanitary Ware,Sanitary,Pedestal,Wash Basin,Ceramica Cleopatra,Low,2100,Piece,Per_Bathroom,1,Bathroom,False
