Product_ID,Finishing_Category,Subcategory,Product_Name,Brand,Product_Type,Material,Quality_Level,Price_EGP,Unit,Quantity_Rule,Rule_Value,Required_For,Optional
P000022,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG,Gypsum Board,Gypsum,High,344,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000023,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Knauf,Decorative Panel,Gypsum,Low,228,Piece,Area_m2/Coverage,1.0,Reception,True
P000024,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Siniat,Gypsum Board,Gypsum,High,304,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000025,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Gyproc,Decorative Panel,Gypsum,Low,206,Piece,Area_m2/Coverage,1.0,Reception,True
P000026,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,USG Boral,Decorative Panel,Gypsum,Medium,279,Piece,Area_m2/Coverage,1.0,Reception,True
P000027,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG Boral,Gypsum Board,Gypsum,Medium,240,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000028,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,USG Boral,Decorative Panel,Gypsum,Medium,283,Piece,Area_m2/Coverage,1.0,Reception,True
P000029,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,USG,Decorative Panel,Gypsum,High,330,Piece,Area_m2/Coverage,1.0,Reception,True
P000030,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Gyproc,Decorative Panel,Gypsum,High,293,Piece,Area_m2/Coverage,1.0,Reception,True
P000031,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Knauf,Gypsum Board,Gypsum,Medium,261,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000032,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Knauf,Decorative Panel,Gypsum,Low,225,Piece,Area_m2/Coverage,1.0,Reception,True
P000033,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG,Gypsum Board,Gypsum,Low,224,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000034,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Siniat,Gypsum Board,Gypsum,Low,234,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000035,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Gyproc,Decorative Panel,Gypsum,Medium,246,Piece,Area_m2/Coverage,1.0,Reception,True
P000036,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Gyproc,Decorative Panel,Gypsum,Medium,265,Piece,Area_m2/Coverage,1.0,Reception,True
P000037,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Siniat,Decorative Panel,Gypsum,Medium,240,Piece,Area_m2/Coverage,1.0,Reception,True
P000038,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Gyproc,Decorative Panel,Gypsum,Medium,244,Piece,Area_m2/Coverage,1.0,Reception,True
P000039,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Gyproc,Decorative Panel,Gypsum,Medium,241,Piece,Area_m2/Coverage,1.0,Reception,True
P000040,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Gyproc,Decorative Panel,Gypsum,Medium,257,Piece,Area_m2/Coverage,1.0,Reception,True
P000041,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,USG,Decorative Panel,Gypsum,Low,195,Piece,Area_m2/Coverage,1.0,Reception,True
P000042,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Siniat,Gypsum Board,Gypsum,High,321,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000043,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,USG,Decorative Panel,Gypsum,Medium,285,Piece,Area_m2/Coverage,1.0,Reception,True
P000044,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Knauf,Decorative Panel,Gypsum,High,339,Piece,Area_m2/Coverage,1.0,Reception,True
P000045,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Siniat,Gypsum Board,Gypsum,Low,190,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000046,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Siniat,Decorative Panel,Gypsum,High,337,Piece,Area_m2/Coverage,1.0,Reception,True
P000047,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,USG Boral,Decorative Panel,Gypsum,High,306,Piece,Area_m2/Coverage,1.0,Reception,True
P000048,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG Boral,Gypsum Board,Gypsum,Low,209,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000049,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Siniat,Decorative Panel,Gypsum,High,336,Piece,Area_m2/Coverage,1.0,Reception,True
P000050,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Siniat,Gypsum Board,Gypsum,High,287,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000051,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,USG Boral,Decorative Panel,Gypsum,High,299,Piece,Area_m2/Coverage,1.0,Reception,True
P000052,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,USG Boral,Decorative Panel,Gypsum,Medium,256,Piece,Area_m2/Coverage,1.0,Reception,True
P000053,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Knauf,Gypsum Board,Gypsum,Medium,258,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000054,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Gyproc,Gypsum Board,Gypsum,High,344,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000055,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG,Gypsum Board,Gypsum,Low,225,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000056,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,USG,Decorative Panel,Gypsum,Low,229,Piece,Area_m2/Coverage,1.0,Reception,True
P000057,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG,Gypsum Board,Gypsum,Low,226,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000058,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Gyproc,Gypsum Board,Gypsum,High,322,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000059,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG,Gypsum Board,Gypsum,Low,215,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000060,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG,Gypsum Board,Gypsum,High,349,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000061,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Knauf,Gypsum Board,Gypsum,High,326,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000062,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG Boral,Gypsum Board,Gypsum,Low,234,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000063,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Knauf,Decorative Panel,Gypsum,Medium,282,Piece,Area_m2/Coverage,1.0,Reception,True
P000064,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Siniat,Gypsum Board,Gypsum,Low,220,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000065,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Siniat,Decorative Panel,Gypsum,Low,199,Piece,Area_m2/Coverage,1.0,Reception,True
P000066,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG Boral,Gypsum Board,Gypsum,Low,227,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000067,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG,Gypsum Board,Gypsum,High,294,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000068,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Siniat,Decorative Panel,Gypsum,Medium,270,Piece,Area_m2/Coverage,1.0,Reception,True
P000069,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG Boral,Gypsum Board,Gypsum,Low,202,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000070,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG,Gypsum Board,Gypsum,Medium,255,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000071,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,USG,Decorative Panel,Gypsum,Medium,254,Piece,Area_m2/Coverage,1.0,Reception,True
P000072,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG,Gypsum Board,Gypsum,Low,181,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000073,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Gyproc,Gypsum Board,Gypsum,Medium,281,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000074,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG,Gypsum Board,Gypsum,Medium,269,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000075,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG,Gypsum Board,Gypsum,Low,186,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000076,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Knauf,Gypsum Board,Gypsum,Medium,264,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000077,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Gyproc,Gypsum Board,Gypsum,Medium,263,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000078,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Siniat,Gypsum Board,Gypsum,Low,199,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000079,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Knauf,Decorative Panel,Gypsum,High,344,Piece,Area_m2/Coverage,1.0,Reception,True
P000080,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG Boral,Gypsum Board,Gypsum,Low,214,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000081,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Gyproc,Gypsum Board,Gypsum,Low,191,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000082,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,USG,Decorative Panel,Gypsum,Medium,274,Piece,Area_m2/Coverage,1.0,Reception,True
P000083,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG,Gypsum Board,Gypsum,Medium,274,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000084,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG Boral,Gypsum Board,Gypsum,High,330,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000085,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Siniat,Gypsum Board,Gypsum,High,308,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000086,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,USG,Decorative Panel,Gypsum,Low,184,Piece,Area_m2/Coverage,1.0,Reception,True
P000087,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Gyproc,Gypsum Board,Gypsum,High,288,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000088,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG Boral,Gypsum Board,Gypsum,Low,180,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000089,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Gyproc,Decorative Panel,Gypsum,High,327,Piece,Area_m2/Coverage,1.0,Reception,True
P000090,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Gyproc,Gypsum Board,Gypsum,Medium,283,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000091,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Gyproc,Decorative Panel,Gypsum,Medium,262,Piece,Area_m2/Coverage,1.0,Reception,True
P000092,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG Boral,Gypsum Board,Gypsum,High,307,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000093,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Knauf,Gypsum Board,Gypsum,High,322,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000094,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Gyproc,Decorative Panel,Gypsum,Medium,251,Piece,Area_m2/Coverage,1.0,Reception,True
P000095,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Knauf,Gypsum Board,Gypsum,Low,227,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000096,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,USG Boral,Decorative Panel,Gypsum,Medium,276,Piece,Area_m2/Coverage,1.0,Reception,True
P000097,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Siniat,Decorative Panel,Gypsum,Low,191,Piece,Area_m2/Coverage,1.0,Reception,True
P000098,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG Boral,Gypsum Board,Gypsum,High,286,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000099,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Gyproc,Gypsum Board,Gypsum,Low,226,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000100,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,USG,Decorative Panel,Gypsum,Low,213,Piece,Area_m2/Coverage,1.0,Reception,True
P000101,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Knauf,Gypsum Board,Gypsum,High,298,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000102,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Siniat,Gypsum Board,Gypsum,Medium,278,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000103,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG Boral,Gypsum Board,Gypsum,Low,204,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000104,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Knauf,Gypsum Board,Gypsum,Medium,279,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000105,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG Boral,Gypsum Board,Gypsum,High,296,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000106,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Knauf,Decorative Panel,Gypsum,Medium,279,Piece,Area_m2/Coverage,1.0,Reception,True
P000107,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,USG,Decorative Panel,Gypsum,Medium,277,Piece,Area_m2/Coverage,1.0,Reception,True
P000108,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Gyproc,Gypsum Board,Gypsum,Low,207,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000109,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Gyproc,Gypsum Board,Gypsum,Medium,265,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000110,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Gyproc,Gypsum Board,Gypsum,High,329,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000111,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Siniat,Decorative Panel,Gypsum,Medium,238,Piece,Area_m2/Coverage,1.0,Reception,True
P000112,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Gyproc,Gypsum Board,Gypsum,Medium,235,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000113,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Gyproc,Gypsum Board,Gypsum,Medium,285,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000114,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Gyproc,Gypsum Board,Gypsum,Medium,255,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000115,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Knauf,Gypsum Board,Gypsum,Low,231,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000116,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,USG Boral,Decorative Panel,Gypsum,Low,199,Piece,Area_m2/Coverage,1.0,Reception,True
P000117,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Siniat,Gypsum Board,Gypsum,Medium,254,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000118,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Gyproc,Gypsum Board,Gypsum,Medium,271,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000119,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG,Gypsum Board,Gypsum,High,328,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000120,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Knauf,Decorative Panel,Gypsum,Medium,271,Piece,Area_m2/Coverage,1.0,Reception,True
P000121,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Knauf,Gypsum Board,Gypsum,Low,188,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000122,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Knauf,Decorative Panel,Gypsum,Medium,261,Piece,Area_m2/Coverage,1.0,Reception,True
P000123,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG,Gypsum Board,Gypsum,High,348,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000124,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Knauf,Gypsum Board,Gypsum,High,341,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000125,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Gyproc,Gypsum Board,Gypsum,Medium,284,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000126,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG Boral,Gypsum Board,Gypsum,High,333,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000127,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Knauf,Decorative Panel,Gypsum,Low,215,Piece,Area_m2/Coverage,1.0,Reception,True
P000128,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Knauf,Gypsum Board,Gypsum,High,318,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000129,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Knauf,Gypsum Board,Gypsum,Low,196,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000130,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Siniat,Gypsum Board,Gypsum,High,301,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000131,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,USG,Decorative Panel,Gypsum,Medium,269,Piece,Area_m2/Coverage,1.0,Reception,True
P000132,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Siniat,Gypsum Board,Gypsum,Low,195,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000133,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG Boral,Gypsum Board,Gypsum,Medium,246,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000134,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,USG Boral,Decorative Panel,Gypsum,High,327,Piece,Area_m2/Coverage,1.0,Reception,True
P000135,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Gyproc,Decorative Panel,Gypsum,High,306,Piece,Area_m2/Coverage,1.0,Reception,True
P000136,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Gyproc,Decorative Panel,Gypsum,Medium,261,Piece,Area_m2/Coverage,1.0,Reception,True
P000137,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Siniat,Gypsum Board,Gypsum,High,292,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000138,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Siniat,Gypsum Board,Gypsum,Low,233,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000139,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG Boral,Gypsum Board,Gypsum,High,327,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000140,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG,Gypsum Board,Gypsum,Low,212,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000141,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Gyproc,Gypsum Board,Gypsum,Medium,250,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000142,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG Boral,Gypsum Board,Gypsum,High,337,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000143,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Knauf,Decorative Panel,Gypsum,Medium,241,Piece,Area_m2/Coverage,1.0,Reception,True
P000144,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,USG,Decorative Panel,Gypsum,Medium,263,Piece,Area_m2/Coverage,1.0,Reception,True
P000145,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG,Gypsum Board,Gypsum,High,290,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000146,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Knauf,Gypsum Board,Gypsum,High,327,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000147,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Siniat,Decorative Panel,Gypsum,Medium,254,Piece,Area_m2/Coverage,1.0,Reception,True
P000148,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG Boral,Gypsum Board,Gypsum,Medium,243,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000149,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Siniat,Decorative Panel,Gypsum,Medium,241,Piece,Area_m2/Coverage,1.0,Reception,True
P000150,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Gyproc,Gypsum Board,Gypsum,Medium,244,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000151,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Gyproc,Decorative Panel,Gypsum,Medium,245,Piece,Area_m2/Coverage,1.0,Reception,True
P000152,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,USG Boral,Gypsum Board,Gypsum,High,329,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000153,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Knauf,Decorative Panel,Gypsum,Low,218,Piece,Area_m2/Coverage,1.0,Reception,True
P000154,Ceilings,Decorative Gypsum Ceiling,Decorative Gypsum Ceiling,Gyproc,Decorative Panel,Gypsum,High,339,Piece,Area_m2/Coverage,1.0,Reception,True
P000155,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Siniat,Gypsum Board,Gypsum,Low,227,Sheet,Area_m2/Coverage,1.0,Ceiling,False
P000156,Ceilings,Gypsum Board Ceiling,Gypsum Board Ceiling,Gyproc,Gypsum Board,Gypsum,High,337,Sheet,Area_m2/Coverage,1.0,Ceiling,False
