Brand,Product_Name,Floor_Type,Subcategory,Grade,Size_cm,Application,Quality_Level,Quality_Score,Unit,Waste_Factor,Quantity_Rule,Rule_Value,Required_For,Optional,Price_EGP,Category,Size_Length_cm,Size_Width_cm,Tile_Area_m2,Price_per_m2,Price_Efficiency,Value_for_Money_Score
Lecico,Ceramic 60x60,Ceramic,Floor Tile,Second,60x60,Kitchen,Low,6.0,m2,0.1,Area_m2,1,Bedrooms,False,244,Flooring,60.0,60.0,0.36,244.0,2.237704918032787,7.6
Alfa Ceramic,Ceramic 60x60,Ceramic,Floor Tile,First,60x60,Bedrooms,Medium,7.5,m2,0.1,Area_m2,1,Bedrooms,False,287,Flooring,60.0,60.0,0.36,287.0,1.9024390243902438,8.3
Ceramica Cleopatra,Porcelain 60x120,Porcelain,Floor Tile,First,60x120,Bathroom,High,9.0,m2,0.12,Area_m2,1,Reception,False,746,Flooring,60.0,120.0,0.72,746.0,0.7319034852546917,6.86
Ceramica Cleopatra,Porcelain 60x120,Porcelain,Floor Tile,Third,60x120,Bathroom,High,9.0,m2,0.12,Area_m2,1,Reception,False,452,Flooring,60.0,120.0,0.72,452.0,1.2079646017699115,7.82
Royal Ceramica,Porcelain 60x120,Porcelain,Floor Tile,Second,60x120,Reception,Medium,7.5,m2,0.12,Area_m2,1,Reception,False,531,Flooring,60.0,120.0,0.72,531.0,1.0282485875706215,6.56
Alfa Ceramic,Porcelain 60x120,Porcelain,Floor Tile,Second,60x120,Kitchen,Medium,7.5,m2,0.12,Area_m2,1,Reception,False,654,Flooring,60.0,120.0,0.72,654.0,0.8348623853211009,6.17
Ceramica Cleopatra,Ceramic 60x60,Ceramic,Floor Tile,First,60x60,Kitchen,Low,6.0,m2,0.1,Area_m2,1,Bedrooms,False,322,Flooring,60.0,60.0,0.36,322.0,1.6956521739130435,6.99
Gemma,Porcelain 60x120,Porcelain,Floor Tile,First,60x120,Kitchen,High,9.0,m2,0.12,Area_m2,1,Reception,False,920,Flooring,60.0,120.0,0.72,920.0,0.5934782608695652,6.59
Gemma,Porcelain 60x120,Porcelain,Floor Tile,Third,60x120,Bathroom,Low,6.0,m2,0.12,Area_m2,1,Reception,False,460,Flooring,60.0,120.0,0.72,460.0,1.1869565217391305,5.97
Ceramica Cleopatra,Porcelain 60x120,Porcelain,Floor Tile,Second,60x120,Kitchen,Medium,7.5,m2,0.12,Area_m2,1,Reception,False,623,Flooring,60.0,120.0,0.72,623.0,0.8764044943820225,6.25
Gemma,Porcelain 60x120,Porcelain,Floor Tile,Second,60x120,Bathroom,Low,6.0,m2,0.12,Area_m2,1,Reception,False,681,Flooring,60.0,120.0,0.72,681.0,0.801762114537445,5.2
Ceramica Cleopatra,Porcelain 60x120,Porcelain,Floor Tile,First,60x120,Bathroom,High,9.0,m2,0.12,Area_m2,1,Reception,False,744,Flooring,60.0,120.0,0.72,744.0,0.7338709677419355,6.87
Alfa Ceramic,Porcelain 60x120,Porcelain,Floor Tile,First,60x120,Kitchen,High,9.0,m2,0.12,Area_m2,1,Reception,False,683,Flooring,60.0,120.0,0.72,683.0,0.7994143484626647,7.0
Lecico,Ceramic 60x60,Ceramic,Floor Tile,First,60x60,Bathroom,High,9.0,m2,0.1,Area_m2,1,Bedrooms,False,329,Flooring,60.0,60.0,0.36,329.0,1.6595744680851063,8.72
Gemma,Porcelain 60x120,Porcelain,Floor Tile,First,60x120,Reception,Low,6.0,m2,0.12,Area_m2,1,Reception,False,821,Flooring,60.0,120.0,0.72,821.0,0.6650426309378806,4.93
Lecico,Porcelain 60x120,Porcelain,Floor Tile,First,60x120,Kitchen,Medium,7.5,m2,0.12,Area_m2,1,Reception,False,822,Flooring,60.0,120.0,0.72,822.0,0.6642335766423357,5.83
Gemma,Ceramic 60x60,Ceramic,Floor Tile,First,60x60,Bathroom,Medium,7.5,m2,0.1,Area_m2,1,Bedrooms,False,371,Flooring,60.0,60.0,0.36,371.0,1.471698113207547,7.44
Lecico,Porcelain 60x120,Porcelain,Floor Tile,First,60x120,Reception,Low,6.0,m2,0.12,Area_m2,1,Reception,False,794,Flooring,60.0,120.0,0.72,794.0,0.6876574307304786,4.98
Ceramica Cleopatra,Ceramic 60x60,Ceramic,Floor Tile,First,60x60,Bathroom,High,9.0,m2,0.1,Area_m2,1,Bedrooms,False,332,Flooring,60.0,60.0,0.36,332.0,1.644578313253012,8.69
Alfa Ceramic,Ceramic 60x60,Ceramic,Floor Tile,Third,60x60,Bedrooms,Low,6.0,m2,0.1,Area_m2,1,Bedrooms,False,205,Flooring,60.0,60.0,0.36,205.0,2.6634146341463416,7.6
Gemma,Ceramic 60x60,Ceramic,Floor Tile,Second,60x60,Bedrooms,Medium,7.5,m2,0.1,Area_m2,1,Bedrooms,False,296,Flooring,60.0,60.0,0.36,296.0,1.8445945945945945,8.19
Ceramica Cleopatra,Porcelain 60x120,Porcelain,Floor Tile,Second,60x120,Reception,High,9.0,m2,0.12,Area_m2,1,Reception,False,657,Flooring,60.0,120.0,0.72,657.0,0.8310502283105022,7.06
Royal Ceramica,Porcelain 60x120,Porcelain,Floor Tile,Third,60x120,Kitchen,Low,6.0,m2,0.12,Area_m2,1,Reception,False,607,Flooring,60.0,120.0,0.72,607.0,0.899505766062603,5.4
Gemma,Porcelain 60x120,Porcelain,Floor Tile,First,60x120,Kitchen,Medium,7.5,m2,0.12,Area_m2,1,Reception,False,687,Flooring,60.0,120.0,0.72,687.0,0.7947598253275109,6.09
Alfa Ceramic,Ceramic 60x60,Ceramic,Floor Tile,First,60x60,Bedrooms,High,9.0,m2,0.1,Area_m2,1,Bedrooms,False,317,Flooring,60.0,60.0,0.36,317.0,1.722397476340694,8.84
Royal Ceramica,Porcelain 60x120,Porcelain,Floor Tile,Second,60x120,Reception,High,9.0,m2,0.12,Area_m2,1,Reception,False,539,Flooring,60.0,120.0,0.72,539.0,1.0129870129870129,7.43
Gemma,Ceramic 60x60,Ceramic,Floor Tile,Second,60x60,Bedrooms,Low,6.0,m2,0.1,Area_m2,1,Bedrooms,False,236,Flooring,60.0,60.0,0.36,236.0,2.3135593220338984,7.6
Royal Ceramica,Porcelain 60x120,Porcelain,Floor Tile,First,60x120,Reception,High,9.0,m2,0.12,Area_m2,1,Reception,False,747,Flooring,60.0,120.0,0.72,747.0,0.7309236947791165,6.86
Ceramica Cleopatra,Porcelain 60x120,Porcelain,Floor Tile,Third,60x120,Bathroom,Low,6.0,m2,0.12,Area_m2,1,Reception,False,525,Flooring,60.0,120.0,0.72,525.0,1.04,5.68
Lecico,Porcelain 60x120,Porcelain,Floor Tile,Second,60x120,Kitchen,Low,6.0,m2,0.12,Area_m2,1,Reception,False,586,Flooring,60.0,120.0,0.72,586.0,0.931740614334471,5.46
Alfa Ceramic,Ceramic 60x60,Ceramic,Floor Tile,Second,60x60,Kitchen,Low,6.0,m2,0.1,Area_m2,1,Bedrooms,False,213,Flooring,60.0,60.0,0.36,213.0,2.563380281690141,7.6
Ceramica Cleopatra,Ceramic 60x60,Ceramic,Floor Tile,First,60x60,Bathroom,Medium,7.5,m2,0.1,Area_m2,1,Bedrooms,False,334,Flooring,60.0,60.0,0.36,334.0,1.6347305389221556,7.77
Lecico,Porcelain 60x120,Porcelain,Floor Tile,Third,60x120,Bathroom,High,9.0,m2,0.12,Area_m2,1,Reception,False,522,Flooring,60.0,120.0,0.72,522.0,1.0459770114942528,7.49
Ceramica Cleopatra,Ceramic 60x60,Ceramic,Floor Tile,Second,60x60,Bedrooms,High,9.0,m2,0.1,Area_m2,1,Bedrooms,False,265,Flooring,60.0,60.0,0.36,265.0,2.060377358490566,9.4
Ceramica Cleopatra,Porcelain 60x120,Porcelain,Floor Tile,First,60x120,Reception,High,9.0,m2,0.12,Area_m2,1,Reception,False,727,Flooring,60.0,120.0,0.72,727.0,0.7510316368638239,6.9
Ceramica Cleopatra,Porcelain 60x120,Porcelain,Floor Tile,Third,60x120,Kitchen,Medium,7.5,m2,0.12,Area_m2,1,Reception,False,502,Flooring,60.0,120.0,0.72,502.0,1.0876494023904382,6.68
Royal Ceramica,Ceramic 60x60,Ceramic,Floor Tile,First,60x60,Kitchen,High,9.0,m2,0.1,Area_m2,1,Bedrooms,False,371,Flooring,60.0,60.0,0.36,371.0,1.471698113207547,8.34
Alfa Ceramic,Porcelain 60x120,Porcelain,Floor Tile,First,60x120,Reception,Medium,7.5,m2,0.12,Area_m2,1,Reception,False,839,Flooring,60.0,120.0,0.72,839.0,0.6507747318235996,5.8
Gemma,Porcelain 60x120,Porcelain,Floor Tile,First,60x120,Bathroom,High,9.0,m2,0.12,Area_m2,1,Reception,False,840,Flooring,60.0,120.0,0.72,840.0,0.65,6.7
Ceramica Cleopatra,Porcelain 60x120,Porcelain,Floor Tile,First,60x120,Reception,Low,6.0,m2,0.12,Area_m2,1,Reception,False,698,Flooring,60.0,120.0,0.72,698.0,0.7822349570200573,5.16
Gemma,Porcelain 60x120,Porcelain,Floor Tile,First,60x120,Reception,High,9.0,m2,0.12,Area_m2,1,Reception,False,913,Flooring,60.0,120.0,0.72,913.0,0.5980284775465499,6.6
Ceramica Cleopatra,Ceramic 60x60,Ceramic,Floor Tile,First,60x60,Bedrooms,Low,6.0,m2,0.1,Area_m2,1,Bedrooms,False,332,Flooring,60.0,60.0,0.36,332.0,1.644578313253012,6.89
Gemma,Ceramic 60x60,Ceramic,Floor Tile,First,60x60,Kitchen,High,9.0,m2,0.1,Area_m2,1,Bedrooms,False,284,Flooring,60.0,60.0,0.36,284.0,1.9225352112676057,9.25
Royal Ceramica,Porcelain 60x120,Porcelain,Floor Tile,First,60x120,Kitchen,Low,6.0,m2,0.12,Area_m2,1,Reception,False,934,Flooring,60.0,120.0,0.72,934.0,0.5845824411134903,4.77
Lecico,Ceramic 60x60,Ceramic,Floor Tile,Second,60x60,Bedrooms,Medium,7.5,m2,0.1,Area_m2,1,Bedrooms,False,239,Flooring,60.0,60.0,0.36,239.0,2.284518828451883,8.5
Lecico,Porcelain 60x120,Porcelain,Floor Tile,First,60x120,Kitchen,Low,6.0,m2,0.12,Area_m2,1,Reception,False,855,Flooring,60.0,120.0,0.72,855.0,0.6385964912280702,4.88
Royal Ceramica,Ceramic 60x60,Ceramic,Floor Tile,First,60x60,Bathroom,Medium,7.5,m2,0.1,Area_m2,1,Bedrooms,False,359,Flooring,60.0,60.0,0.36,359.0,1.5208913649025069,7.54
Ceramica Cleopatra,Porcelain 60x120,Porcelain,Floor Tile,First,60x120,Bathroom,Low,6.0,m2,0.12,Area_m2,1,Reception,False,800,Flooring,60.0,120.0,0.72,800.0,0.6825,4.96
Gemma,Ceramic 60x60,Ceramic,Floor Tile,First,60x60,Kitchen,Low,6.0,m2,0.1,Area_m2,1,Bedrooms,False,286,Flooring,60.0,60.0,0.36,286.0,1.9090909090909092,7.42
Alfa Ceramic,Ceramic 60x60,Ceramic,Floor Tile,First,60x60,Bedrooms,High,9.0,m2,0.1,Area_m2,1,Bedrooms,False,378,Flooring,60.0,60.0,0.36,378.0,1.4444444444444444,8.29
Gemma,Porcelain 60x120,Porcelain,Floor Tile,First,60x120,Bathroom,High,9.0,m2,0.12,Area_m2,1,Reception,False,869,Flooring,60.0,120.0,0.72,869.0,0.6283084004602992,6.66
Gemma,Ceramic 60x60,Ceramic,Floor Tile,First,60x60,Kitchen,High,9.0,m2,0.1,Area_m2,1,Bedrooms,False,346,Flooring,60.0,60.0,0.36,346.0,1.5780346820809248,8.56
Royal Ceramica,Porcelain 60x120,Porcelain,Floor Tile,Third,60x120,Reception,Medium,7.5,m2,0.12,Area_m2,1,Reception,False,534,Flooring,60.0,120.0,0.72,534.0,1.0224719101123596,6.54
Gemma,Porcelain 60x120,Porcelain,Floor Tile,Second,60x120,Reception,Medium,7.5,m2,0.12,Area_m2,1,Reception,False,534,Flooring,60.0,120.0,0.72,534.0,1.0224719101123596,6.54
Royal Ceramica,Porcelain 60x120,Porcelain,Floor Tile,First,60x120,Kitchen,Low,6.0,m2,0.12,Area_m2,1,Reception,False,704,Flooring,60.0,120.0,0.72,704.0,0.7755681818181818,5.15
Ceramica Cleopatra,Porcelain 60x120,Porcelain,Floor Tile,Second,60x120,Reception,Medium,7.5,m2,0.12,Area_m2,1,Reception,False,549,Flooring,60.0,120.0,0.72,549.0,0.994535519125683,6.49
Royal Ceramica,Porcelain 60x120,Porcelain,Floor Tile,First,60x120,Bathroom,Low,6.0,m2,0.12,Area_m2,1,Reception,False,768,Flooring,60.0,120.0,0.72,768.0,0.7109375,5.02
Gemma,Ceramic 60x60,Ceramic,Floor Tile,Third,60x60,Kitchen,Low,6.0,m2,0.1,Area_m2,1,Bedrooms,False,201,Flooring,60.0,60.0,0.36,201.0,2.716417910447761,7.6
Alfa Ceramic,Porcelain 60x120,Porcelain,Floor Tile,First,60x120,Bathroom,Medium,7.5,m2,0.12,Area_m2,1,Reception,False,676,Flooring,60.0,120.0,0.72,676.0,0.8076923076923077,6.12
Ceramica Cleopatra,Ceramic 60x60,Ceramic,Floor Tile,First,60x60,Bathroom,Medium,7.5,m2,0.1,Area_m2,1,Bedrooms,False,322,Flooring,60.0,60.0,0.36,322.0,1.6956521739130435,7.89
Alfa Ceramic,Ceramic 60x60,Ceramic,Floor Tile,Third,60x60,Bedrooms,Low,6.0,m2,0.1,Area_m2,1,Bedrooms,False,204,Flooring,60.0,60.0,0.36,204.0,2.676470588235294,7.6
Alfa Ceramic,Ceramic 60x60,Ceramic,Floor Tile,Second,60x60,Kitchen,Low,6.0,m2,0.1,Area_m2,1,Bedrooms,False,240,Flooring,60.0,60.0,0.36,240.0,2.275,7.6
Royal Ceramica,Ceramic 60x60,Ceramic,Floor Tile,Third,60x60,Kitchen,High,9.0,m2,0.1,Area_m2,1,Bedrooms,False,199,Flooring,60.0,60.0,0.36,199.0,2.7437185929648242,9.4
Royal Ceramica,Porcelain 60x120,Porcelain,Floor Tile,Second,60x120,Kitchen,Medium,7.5,m2,0.12,Area_m2,1,Reception,False,539,Flooring,60.0,120.0,0.72,539.0,1.0129870129870129,6.53
Ceramica Cleopatra,Porcelain 60x120,Porcelain,Floor Tile,First,60x120,Reception,Low,6.0,m2,0.12,Area_m2,1,Reception,False,826,Flooring,60.0,120.0,0.72,826.0,0.6610169491525424,4.92
Royal Ceramica,Porcelain 60x120,Porcelain,Floor Tile,Third,60x120,Kitchen,High,9.0,m2,0.12,Area_m2,1,Reception,False,520,Flooring,60.0,120.0,0.72,520.0,1.05,7.5
Ceramica Cleopatra,Porcelain 60x120,Porcelain,Floor Tile,First,60x120,Reception,Low,6.0,m2,0.12,Area_m2,1,Reception,False,740,Flooring,60.0,120.0,0.72,740.0,0.7378378378378379,5.08
Ceramica Cleopatra,Porcelain 60x120,Porcelain,Floor Tile,First,60x120,Reception,Medium,7.5,m2,0.12,Area_m2,1,Reception,False,844,Flooring,60.0,120.0,0.72,844.0,0.6469194312796208,5.79
Ceramica Cleopatra,Porcelain 60x120,Porcelain,Floor Tile,Third,60x120,Kitchen,High,9.0,m2,0.12,Area_m2,1,Reception,False,603,Flooring,60.0,120.0,0.72,603.0,0.9054726368159204,7.21
Alfa Ceramic,Porcelain 60x120,Porcelain,Floor Tile,First,60x120,Kitchen,High,9.0,m2,0.12,Area_m2,1,Reception,False,772,Flooring,60.0,120.0,0.72,772.0,0.7072538860103627,6.81
Alfa Ceramic,Ceramic 60x60,Ceramic,Floor Tile,Third,60x60,Bedrooms,High,9.0,m2,0.1,Area_m2,1,Bedrooms,False,184,Flooring,60.0,60.0,0.36,184.0,2.967391304347826,9.4
Royal Ceramica,Ceramic 60x60,Ceramic,Floor Tile,Third,60x60,Bedrooms,Low,6.0,m2,0.1,Area_m2,1,Bedrooms,False,182,Flooring,60.0,60.0,0.36,182.0,3.0,7.6
Royal Ceramica,Ceramic 60x60,Ceramic,Floor Tile,Second,60x60,Bedrooms,High,9.0,m2,0.1,Area_m2,1,Bedrooms,False,236,Flooring,60.0,60.0,0.36,236.0,2.3135593220338984,9.4
Lecico,Ceramic 60x60,Ceramic,Floor Tile,Second,60x60,Bathroom,Low,6.0,m2,0.1,Area_m2,1,Bedrooms,False,219,Flooring,60.0,60.0,0.36,219.0,2.493150684931507,7.6
Lecico,Ceramic 60x60,Ceramic,Floor Tile,First,60x60,Kitchen,Medium,7.5,m2,0.1,Area_m2,1,Bedrooms,False,377,Flooring,60.0,60.0,0.36,377.0,1.4482758620689655,7.4
Royal Ceramica,Ceramic 60x60,Ceramic,Floor Tile,First,60x60,Kitchen,Medium,7.5,m2,0.1,Area_m2,1,Bedrooms,False,267,Flooring,60.0,60.0,0.36,267.0,2.044943820224719,8.5
Gemma,Porcelain 60x120,Porcelain,Floor Tile,Second,60x120,Bathroom,High,9.0,m2,0.12,Area_m2,1,Reception,False,731,Flooring,60.0,120.0,0.72,731.0,0.746922024623803,6.89
Alfa Ceramic,Porcelain 60x120,Porcelain,Floor Tile,First,60x120,Bathroom,Low,6.0,m2,0.12,Area_m2,1,Reception,False,772,Flooring,60.0,120.0,0.72,772.0,0.7072538860103627,5.01
Alfa Ceramic,Ceramic 60x60,Ceramic,Floor Tile,Second,60x60,Bedrooms,Medium,7.5,m2,0.1,Area_m2,1,Bedrooms,False,256,Flooring,60.0,60.0,0.36,256.0,2.1328125,8.5
Alfa Ceramic,Ceramic 60x60,Ceramic,Floor Tile,Third,60x60,Bedrooms,Low,6.0,m2,0.1,Area_m2,1,Bedrooms,False,221,Flooring,60.0,60.0,0.36,221.0,2.4705882352941178,7.6
Alfa Ceramic,Porcelain 60x120,Porcelain,Floor Tile,First,60x120,Reception,Medium,7.5,m2,0.12,Area_m2,1,Reception,False,847,Flooring,60.0,120.0,0.72,847.0,0.6446280991735537,5.79
Ceramica Cleopatra,Porcelain 60x120,Porcelain,Floor Tile,Third,60x120,Reception,Low,6.0,m2,0.12,Area_m2,1,Reception,False,516,Flooring,60.0,120.0,0.72,516.0,1.058139534883721,5.72
Ceramica Cleopatra,Ceramic 60x60,Ceramic,Floor Tile,First,60x60,Bathroom,Low,6.0,m2,0.1,Area_m2,1,Bedrooms,False,285,Flooring,60.0,60.0,0.36,285.0,1.9157894736842105,7.43
Royal Ceramica,Ceramic 60x60,Ceramic,Floor Tile,Third,60x60,Bathroom,High,9.0,m2,0.1,Area_m2,1,Bedrooms,False,179,Flooring,60.0,60.0,0.36,179.0,3.0502793296089385,9.4
Ceramica Cleopatra,Porcelain 60x120,Porcelain,Floor Tile,First,60x120,Reception,Medium,7.5,m2,0.12,Area_m2,1,Reception,False,904,Flooring,60.0,120.0,0.72,904.0,0.6039823008849557,5.71
Ceramica Cleopatra,Ceramic 60x60,Ceramic,Floor Tile,First,60x60,Bathroom,Low,6.0,m2,0.1,Area_m2,1,Bedrooms,False,371,Flooring,60.0,60.0,0.36,371.0,1.471698113207547,6.54
Ceramica Cleopatra,Ceramic 60x60,Ceramic,Floor Tile,First,60x60,Bedrooms,High,9.0,m2,0.1,Area_m2,1,Bedrooms,False,322,Flooring,60.0,60.0,0.36,322.0,1.6956521739130435,8.79
Gemma,Porcelain 60x120,Porcelain,Floor Tile,Third,60x120,Kitchen,Medium,7.5,m2,0.12,Area_m2,1,Reception,False,440,Flooring,60.0,120.0,0.72,440.0,1.240909090909091,6.98
Royal Ceramica,Ceramic 60x60,Ceramic,Floor Tile,Second,60x60,Kitchen,High,9.0,m2,0.1,Area_m2,1,Bedrooms,False,221,Flooring,60.0,60.0,0.36,221.0,2.4705882352941178,9.4
Gemma,Porcelain 60x120,Porcelain,Floor Tile,Second,60x120,Bathroom,Low,6.0,m2,0.12,Area_m2,1,Reception,False,534,Flooring,60.0,120.0,0.72,534.0,1.0224719101123596,5.64
Royal Ceramica,Porcelain 60x120,Porcelain,Floor Tile,First,60x120,Bathroom,Medium,7.5,m2,0.12,Area_m2,1,Reception,False,747,Flooring,60.0,120.0,0.72,747.0,0.7309236947791165,5.96
Royal Ceramica,Porcelain 60x120,Porcelain,Floor Tile,First,60x120,Reception,Low,6.0,m2,0.12,Area_m2,1,Reception,False,835,Flooring,60.0,120.0,0.72,835.0,0.6538922155688622,4.91
Ceramica Cleopatra,Ceramic 60x60,Ceramic,Floor Tile,First,60x60,Bathroom,High,9.0,m2,0.1,Area_m2,1,Bedrooms,False,368,Flooring,60.0,60.0,0.36,368.0,1.483695652173913,8.37
Royal Ceramica,Ceramic 60x60,Ceramic,Floor Tile,Third,60x60,Kitchen,Low,6.0,m2,0.1,Area_m2,1,Bedrooms,False,195,Flooring,60.0,60.0,0.36,195.0,2.8,7.6
Gemma,Porcelain 60x120,Porcelain,Floor Tile,First,60x120,Bathroom,Medium,7.5,m2,0.12,Area_m2,1,Reception,False,913,Flooring,60.0,120.0,0.72,913.0,0.5980284775465499,5.7
Royal Ceramica,Porcelain 60x120,Porcelain,Floor Tile,Third,60x120,Bathroom,Medium,7.5,m2,0.12,Area_m2,1,Reception,False,497,Flooring,60.0,120.0,0.72,497.0,1.0985915492957747,6.7
Ceramica Cleopatra,Ceramic 60x60,Ceramic,Floor Tile,Second,60x60,Bathroom,Low,6.0,m2,0.1,Area_m2,1,Bedrooms,False,264,Flooring,60.0,60.0,0.36,264.0,2.0681818181818183,7.6
Royal Ceramica,Porcelain 60x120,Porcelain,Floor Tile,First,60x120,Reception,Low,6.0,m2,0.12,Area_m2,1,Reception,False,704,Flooring,60.0,120.0,0.72,704.0,0.7755681818181818,5.15
Lecico,Porcelain 60x120,Porcelain,Floor Tile,Third,60x120,Bathroom,High,9.0,m2,0.12,Area_m2,1,Reception,False,462,Flooring,60.0,120.0,0.72,462.0,1.1818181818181819,7.76
Royal Ceramica,Ceramic 60x60,Ceramic,Floor Tile,First,60x60,Bathroom,Medium,7.5,m2,0.1,Area_m2,1,Bedrooms,False,327,Flooring,60.0,60.0,0.36,327.0,1.6697247706422018,7.84
Gemma,Porcelain 60x120,Porcelain,Floor Tile,Third,60x120,Reception,Low,6.0,m2,0.12,Area_m2,1,Reception,False,543,Flooring,60.0,120.0,0.72,543.0,1.0055248618784531,5.61
Ceramica Cleopatra,Porcelain 60x120,Porcelain,Floor Tile,Second,60x120,Kitchen,Medium,7.5,m2,0.12,Area_m2,1,Reception,False,612,Flooring,60.0,120.0,0.72,612.0,0.8921568627450981,6.28
Ceramica Cleopatra,Porcelain 60x120,Porcelain,Floor Tile,First,60x120,Reception,High,9.0,m2,0.12,Area_m2,1,Reception,False,802,Flooring,60.0,120.0,0.72,802.0,0.6807980049875312,6.76
Ceramica Cleopatra,Porcelain 60x120,Porcelain,Floor Tile,Second,60x120,Bathroom,High,9.0,m2,0.12,Area_m2,1,Reception,False,612,Flooring,60.0,120.0,0.72,612.0,0.8921568627450981,7.18
Gemma,Porcelain 60x120,Porcelain,Floor Tile,Second,60x120,Kitchen,Medium,7.5,m2,0.12,Area_m2,1,Reception,False,564,Flooring,60.0,120.0,0.72,564.0,0.9680851063829787,6.44
Ceramica Cleopatra,Porcelain 60x120,Porcelain,Floor Tile,First,60x120,Bathroom,Medium,7.5,m2,0.12,Area_m2,1,Reception,False,900,Flooring,60.0,120.0,0.72,900.0,0.6066666666666667,5.71
Gemma,Ceramic 60x60,Ceramic,Floor Tile,Third,60x60,Kitchen,Low,6.0,m2,0.1,Area_m2,1,Bedrooms,False,179,Flooring,60.0,60.0,0.36,179.0,3.0502793296089385,7.6
Lecico,Porcelain 60x120,Porcelain,Floor Tile,First,60x120,Bathroom,Medium,7.5,m2,0.12,Area_m2,1,Reception,False,737,Flooring,60.0,120.0,0.72,737.0,0.7408412483039348,5.98
