Brand,Floor_Type,Grade,Size_cm,Unit,Size_Length_cm,Size_Width_cm,Tile_Area_m2,Price_EGP
Ceramica Cleopatra,Ceramic,Second,60x60,m2,60.0,60.0,0.36,265
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,727
Ceramica Cleopatra,Porcelain,Third,60x120,m2,60.0,120.0,0.72,502
Royal Ceramica,Ceramic,First,60x60,m2,60.0,60.0,0.36,371
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,839
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,840
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,698
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,913
Ceramica Cleopatra,Ceramic,First,60x60,m2,60.0,60.0,0.36,332
Gemma,Ceramic,First,60x60,m2,60.0,60.0,0.36,284
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,934
Lecico,Ceramic,Second,60x60,m2,60.0,60.0,0.36,239
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,855
Royal Ceramica,Ceramic,First,60x60,m2,60.0,60.0,0.36,359
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,800
Gemma,Ceramic,First,60x60,m2,60.0,60.0,0.36,286
Alfa Ceramic,Ceramic,First,60x60,m2,60.0,60.0,0.36,378
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,869
Gemma,Ceramic,First,60x60,m2,60.0,60.0,0.36,346
Royal Ceramica,Porcelain,Third,60x120,m2,60.0,120.0,0.72,534
Gemma,Porcelain,Second,60x120,m2,60.0,120.0,0.72,534
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,704
Ceramica Cleopatra,Porcelain,Second,60x120,m2,60.0,120.0,0.72,549
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,768
Gemma,Ceramic,Third,60x60,m2,60.0,60.0,0.36,201
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,676
Ceramica Cleopatra,Ceramic,First,60x60,m2,60.0,60.0,0.36,322
Alfa Ceramic,Ceramic,Third,60x60,m2,60.0,60.0,0.36,204
Alfa Ceramic,Ceramic,Second,60x60,m2,60.0,60.0,0.36,240
Royal Ceramica,Ceramic,Third,60x60,m2,60.0,60.0,0.36,199
Royal Ceramica,Porcelain,Second,60x120,m2,60.0,120.0,0.72,539
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,826
Royal Ceramica,Porcelain,Third,60x120,m2,60.0,120.0,0.72,520
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,740
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,844
Ceramica Cleopatra,Porcelain,Third,60x120,m2,60.0,120.0,0.72,603
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,772
Alfa Ceramic,Ceramic,Third,60x60,m2,60.0,60.0,0.36,184
Royal Ceramica,Ceramic,Third,60x60,m2,60.0,60.0,0.36,182
Royal Ceramica,Ceramic,Second,60x60,m2,60.0,60.0,0.36,236
Lecico,Ceramic,Second,60x60,m2,60.0,60.0,0.36,219
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,377
Royal Ceramica,Ceramic,First,60x60,m2,60.0,60.0,0.36,267
Gemma,Porcelain,Second,60x120,m2,60.0,120.0,0.72,731
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,772
Alfa Ceramic,Ceramic,Second,60x60,m2,60.0,60.0,0.36,256
Alfa Ceramic,Ceramic,Third,60x60,m2,60.0,60.0,0.36,221
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,847
Ceramica Cleopatra,Porcelain,Third,60x120,m2,60.0,120.0,0.72,516
Ceramica Cleopatra,Ceramic,First,60x60,m2,60.0,60.0,0.36,285
Royal Ceramica,Ceramic,Third,60x60,m2,60.0,60.0,0.36,179
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,904
Ceramica Cleopatra,Ceramic,First,60x60,m2,60.0,60.0,0.36,371
Ceramica Cleopatra,Ceramic,First,60x60,m2,60.0,60.0,0.36,322
Gemma,Porcelain,Third,60x120,m2,60.0,120.0,0.72,440
Royal Ceramica,Ceramic,Second,60x60,m2,60.0,60.0,0.36,221
Gemma,Porcelain,Second,60x120,m2,60.0,120.0,0.72,534
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,747
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,835
Ceramica Cleopatra,Ceramic,First,60x60,m2,60.0,60.0,0.36,368
Royal Ceramica,Ceramic,Third,60x60,m2,60.0,60.0,0.36,195
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,913
Royal Ceramica,Porcelain,Third,60x120,m2,60.0,120.0,0.72,497
Ceramica Cleopatra,Ceramic,Second,60x60,m2,60.0,60.0,0.36,264
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,704
Lecico,Porcelain,Third,60x120,m2,60.0,120.0,0.72,462
Royal Ceramica,Ceramic,First,60x60,m2,60.0,60.0,0.36,327
Gemma,Porcelain,Third,60x120,m2,60.0,120.0,0.72,543
Ceramica Cleopatra,Porcelain,Second,60x120,m2,60.0,120.0,0.72,612
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,802
Ceramica Cleopatra,Porcelain,Second,60x120,m2,60.0,120.0,0.72,612
Gemma,Porcelain,Second,60x120,m2,60.0,120.0,0.72,564
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,900
Gemma,Ceramic,Third,60x60,m2,60.0,60.0,0.36,179
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,737
Lecico,Porcelain,Second,60x120,m2,60.0,120.0,0.72,705
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,740
Alfa Ceramic,Ceramic,Second,60x60,m2,60.0,60.0,0.36,284
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,762
Alfa Ceramic,Porcelain,Third,60x120,m2,60.0,120.0,0.72,553
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,713
Alfa Ceramic,Ceramic,Second,60x60,m2,60.0,60.0,0.36,256
Gemma,Porcelain,Third,60x120,m2,60.0,120.0,0.72,506
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,839
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,764
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,836
Gemma,Porcelain,Third,60x120,m2,60.0,120.0,0.72,528
Ceramica Cleopatra,Ceramic,First,60x60,m2,60.0,60.0,0.36,371
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,734
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,855
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,729
Gemma,Porcelain,Third,60x120,m2,60.0,120.0,0.72,506
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,752
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,943
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,790
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,793
Ceramica Cleopatra,Porcelain,Third,60x120,m2,60.0,120.0,0.72,438
Lecico,Porcelain,Second,60x120,m2,60.0,120.0,0.72,586
Lecico,Porcelain,Third,60x120,m2,60.0,120.0,0.72,509
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,593
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,927
Ceramica Cleopatra,Ceramic,Second,60x60,m2,60.0,60.0,0.36,275
Royal Ceramica,Porcelain,Third,60x120,m2,60.0,120.0,0.72,446
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,898
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,890
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,850
Alfa Ceramic,Porcelain,Third,60x120,m2,60.0,120.0,0.72,492
Royal Ceramica,Ceramic,Third,60x60,m2,60.0,60.0,0.36,245
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,757
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,900
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,884
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,329
Royal Ceramica,Ceramic,First,60x60,m2,60.0,60.0,0.36,359
Ceramica Cleopatra,Ceramic,First,60x60,m2,60.0,60.0,0.36,339
Ceramica Cleopatra,Ceramic,Third,60x60,m2,60.0,60.0,0.36,178
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,298
Lecico,Porcelain,Second,60x120,m2,60.0,120.0,0.72,536
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,734
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,869
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,525
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,334
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,808
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,357
Lecico,Porcelain,Third,60x120,m2,60.0,120.0,0.72,563
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,839
Alfa Ceramic,Ceramic,Third,60x60,m2,60.0,60.0,0.36,218
Alfa Ceramic,Ceramic,Third,60x60,m2,60.0,60.0,0.36,198
Royal Ceramica,Ceramic,Third,60x60,m2,60.0,60.0,0.36,230
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,843
Gemma,Ceramic,First,60x60,m2,60.0,60.0,0.36,371
Ceramica Cleopatra,Ceramic,First,60x60,m2,60.0,60.0,0.36,368
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,644
Alfa Ceramic,Ceramic,Second,60x60,m2,60.0,60.0,0.36,283
Gemma,Porcelain,Second,60x120,m2,60.0,120.0,0.72,600
Ceramica Cleopatra,Porcelain,Third,60x120,m2,60.0,120.0,0.72,614
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,794
Royal Ceramica,Ceramic,Third,60x60,m2,60.0,60.0,0.36,179
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,800
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,676
Gemma,Porcelain,Second,60x120,m2,60.0,120.0,0.72,748
Ceramica Cleopatra,Ceramic,Second,60x60,m2,60.0,60.0,0.36,244
Ceramica Cleopatra,Ceramic,First,60x60,m2,60.0,60.0,0.36,334
Alfa Ceramic,Ceramic,Third,60x60,m2,60.0,60.0,0.36,184
Ceramica Cleopatra,Ceramic,First,60x60,m2,60.0,60.0,0.36,357
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,658
Lecico,Porcelain,Second,60x120,m2,60.0,120.0,0.72,536
Lecico,Ceramic,Second,60x60,m2,60.0,60.0,0.36,270
Lecico,Ceramic,Second,60x60,m2,60.0,60.0,0.36,279
Royal Ceramica,Porcelain,Third,60x120,m2,60.0,120.0,0.72,446
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,924
Royal Ceramica,Porcelain,Second,60x120,m2,60.0,120.0,0.72,703
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,832
Lecico,Porcelain,Third,60x120,m2,60.0,120.0,0.72,509
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,329
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,597
Gemma,Porcelain,Third,60x120,m2,60.0,120.0,0.72,543
Gemma,Ceramic,First,60x60,m2,60.0,60.0,0.36,286
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,702
Royal Ceramica,Porcelain,Third,60x120,m2,60.0,120.0,0.72,520
Gemma,Porcelain,Third,60x120,m2,60.0,120.0,0.72,466
Lecico,Porcelain,Second,60x120,m2,60.0,120.0,0.72,756
Gemma,Ceramic,Second,60x60,m2,60.0,60.0,0.36,248
Gemma,Ceramic,Third,60x60,m2,60.0,60.0,0.36,179
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,660
Royal Ceramica,Porcelain,Third,60x120,m2,60.0,120.0,0.72,607
Ceramica Cleopatra,Ceramic,Second,60x60,m2,60.0,60.0,0.36,244
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,600
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,740
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,672
Ceramica Cleopatra,Ceramic,Third,60x60,m2,60.0,60.0,0.36,235
Ceramica Cleopatra,Ceramic,Third,60x60,m2,60.0,60.0,0.36,178
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,822
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,793
Royal Ceramica,Porcelain,Second,60x120,m2,60.0,120.0,0.72,613
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,917
Alfa Ceramic,Ceramic,First,60x60,m2,60.0,60.0,0.36,284
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,757
Alfa Ceramic,Ceramic,First,60x60,m2,60.0,60.0,0.36,272
Gemma,Porcelain,Third,60x120,m2,60.0,120.0,0.72,596
Royal Ceramica,Ceramic,First,60x60,m2,60.0,60.0,0.36,349
Alfa Ceramic,Ceramic,Second,60x60,m2,60.0,60.0,0.36,213
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,885
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,781
Royal Ceramica,Ceramic,Second,60x60,m2,60.0,60.0,0.36,236
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,740
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,813
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,676
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,840
Gemma,Porcelain,Second,60x120,m2,60.0,120.0,0.72,655
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,815
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,644
Royal Ceramica,Ceramic,Second,60x60,m2,60.0,60.0,0.36,264
Ceramica Cleopatra,Ceramic,Second,60x60,m2,60.0,60.0,0.36,264
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,885
Gemma,Ceramic,Third,60x60,m2,60.0,60.0,0.36,173
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,843
Gemma,Ceramic,First,60x60,m2,60.0,60.0,0.36,306
Lecico,Porcelain,Third,60x120,m2,60.0,120.0,0.72,499
Lecico,Porcelain,Third,60x120,m2,60.0,120.0,0.72,442
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,862
Gemma,Ceramic,Third,60x60,m2,60.0,60.0,0.36,211
Royal Ceramica,Ceramic,First,60x60,m2,60.0,60.0,0.36,355
Alfa Ceramic,Porcelain,Third,60x120,m2,60.0,120.0,0.72,443
Lecico,Porcelain,Second,60x120,m2,60.0,120.0,0.72,672
Alfa Ceramic,Ceramic,Second,60x60,m2,60.0,60.0,0.36,262
Royal Ceramica,Ceramic,Second,60x60,m2,60.0,60.0,0.36,221
Lecico,Ceramic,Second,60x60,m2,60.0,60.0,0.36,239
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,658
Gemma,Porcelain,Second,60x120,m2,60.0,120.0,0.72,564
Ceramica Cleopatra,Ceramic,First,60x60,m2,60.0,60.0,0.36,357
Ceramica Cleopatra,Ceramic,First,60x60,m2,60.0,60.0,0.36,268
Alfa Ceramic,Ceramic,Third,60x60,m2,60.0,60.0,0.36,198
Lecico,Porcelain,Third,60x120,m2,60.0,120.0,0.72,499
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,831
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,944
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,303
Alfa Ceramic,Ceramic,Second,60x60,m2,60.0,60.0,0.36,232
Lecico,Porcelain,Third,60x120,m2,60.0,120.0,0.72,466
Ceramica Cleopatra,Porcelain,Third,60x120,m2,60.0,120.0,0.72,614
Ceramica Cleopatra,Ceramic,First,60x60,m2,60.0,60.0,0.36,261
Ceramica Cleopatra,Porcelain,Third,60x120,m2,60.0,120.0,0.72,525
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,769
Ceramica Cleopatra,Ceramic,First,60x60,m2,60.0,60.0,0.36,261
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,734
Gemma,Porcelain,Third,60x120,m2,60.0,120.0,0.72,544
Ceramica Cleopatra,Porcelain,Third,60x120,m2,60.0,120.0,0.72,452
Gemma,Ceramic,First,60x60,m2,60.0,60.0,0.36,313
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,586
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,720
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,934
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,832
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,815
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,729
Gemma,Ceramic,First,60x60,m2,60.0,60.0,0.36,260
Lecico,Porcelain,Third,60x120,m2,60.0,120.0,0.72,442
Alfa Ceramic,Ceramic,Second,60x60,m2,60.0,60.0,0.36,213
Alfa Ceramic,Ceramic,Second,60x60,m2,60.0,60.0,0.36,283
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,740
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,734
Royal Ceramica,Porcelain,Second,60x120,m2,60.0,120.0,0.72,528
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,822
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,768
Alfa Ceramic,Ceramic,First,60x60,m2,60.0,60.0,0.36,354
Alfa Ceramic,Porcelain,Third,60x120,m2,60.0,120.0,0.72,555
Gemma,Ceramic,First,60x60,m2,60.0,60.0,0.36,306
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,852
Alfa Ceramic,Ceramic,First,60x60,m2,60.0,60.0,0.36,284
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,893
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,844
Ceramica Cleopatra,Ceramic,Third,60x60,m2,60.0,60.0,0.36,235
Gemma,Porcelain,Second,60x120,m2,60.0,120.0,0.72,584
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,586
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,737
Alfa Ceramic,Ceramic,Third,60x60,m2,60.0,60.0,0.36,184
Royal Ceramica,Ceramic,Second,60x60,m2,60.0,60.0,0.36,289
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,743
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,281
Alfa Ceramic,Porcelain,Third,60x120,m2,60.0,120.0,0.72,443
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,821
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,831
Lecico,Porcelain,Third,60x120,m2,60.0,120.0,0.72,456
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,334
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,545
Ceramica Cleopatra,Porcelain,Third,60x120,m2,60.0,120.0,0.72,438
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,650
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,716
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,670
Lecico,Ceramic,Third,60x60,m2,60.0,60.0,0.36,196
Lecico,Porcelain,Third,60x120,m2,60.0,120.0,0.72,462
Lecico,Porcelain,First,60x120,m2,60.0,120.0,0.72,701
Lecico,Ceramic,Second,60x60,m2,60.0,60.0,0.36,267
Gemma,Porcelain,Third,60x120,m2,60.0,120.0,0.72,596
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,947
Ceramica Cleopatra,Porcelain,Third,60x120,m2,60.0,120.0,0.72,525
Royal Ceramica,Porcelain,Second,60x120,m2,60.0,120.0,0.72,694
Ceramica Cleopatra,Porcelain,Second,60x120,m2,60.0,120.0,0.72,552
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,650
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,744
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,720
Gemma,Porcelain,Third,60x120,m2,60.0,120.0,0.72,543
Royal Ceramica,Ceramic,Second,60x60,m2,60.0,60.0,0.36,299
Royal Ceramica,Ceramic,First,60x60,m2,60.0,60.0,0.36,349
Gemma,Ceramic,Second,60x60,m2,60.0,60.0,0.36,265
Lecico,Ceramic,Second,60x60,m2,60.0,60.0,0.36,270
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,890
Alfa Ceramic,Porcelain,Third,60x120,m2,60.0,120.0,0.72,555
Lecico,Ceramic,First,60x60,m2,60.0,60.0,0.36,328
Lecico,Ceramic,Third,60x60,m2,60.0,60.0,0.36,196
Alfa Ceramic,Ceramic,First,60x60,m2,60.0,60.0,0.36,263
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,904
Royal Ceramica,Ceramic,Third,60x60,m2,60.0,60.0,0.36,199
Royal Ceramica,Ceramic,Third,60x60,m2,60.0,60.0,0.36,182
Lecico,Ceramic,Second,60x60,m2,60.0,60.0,0.36,219
Alfa Ceramic,Ceramic,First,60x60,m2,60.0,60.0,0.36,263
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,898
Royal Ceramica,Ceramic,First,60x60,m2,60.0,60.0,0.36,279
Royal Ceramica,Porcelain,Second,60x120,m2,60.0,120.0,0.72,674
Alfa Ceramic,Porcelain,First,60x120,m2,60.0,120.0,0.72,847
Gemma,Porcelain,Third,60x120,m2,60.0,120.0,0.72,559
Royal Ceramica,Ceramic,First,60x60,m2,60.0,60.0,0.36,276
Lecico,Porcelain,Second,60x120,m2,60.0,120.0,0.72,667
Ceramica Cleopatra,Ceramic,Second,60x60,m2,60.0,60.0,0.36,275
Ceramica Cleopatra,Porcelain,First,60x120,m2,60.0,120.0,0.72,808
Ceramica Cleopatra,Ceramic,Second,60x60,m2,60.0,60.0,0.36,275
Lecico,Porcelain,Third,60x120,m2,60.0,120.0,0.72,600
Gemma,Porcelain,Third,60x120,m2,60.0,120.0,0.72,496
Ceramica Cleopatra,Porcelain,Third,60x120,m2,60.0,120.0,0.72,502
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,654
Gemma,Porcelain,First,60x120,m2,60.0,120.0,0.72,835
Lecico,Ceramic,Second,60x60,m2,60.0,60.0,0.36,236
Lecico,Porcelain,Second,60x120,m2,60.0,120.0,0.72,756
Alfa Ceramic,Porcelain,Second,60x120,m2,60.0,120.0,0.72,737
Royal Ceramica,Porcelain,First,60x120,m2,60.0,120.0,0.72,782
Gemma,Ceramic,First,60x60,m2,60.0,60.0,0.36,313
Royal Ceramica,Porcelain,Second,60x120,m2,60.0,120.0,0.72,716
Lecico,Porcelain,Third,60x120,m2,60.0,120.0,0.72,453
