Brand,Product_Name,Category,Specification,Application,Power_W,Quality_Level,Quality_Score,Unit,Quantity_Rule,Rule_Value,Required_For,Optional,Price_EGP,Subcategory,Grade,Quality_Price_Band,Estimated_Quantity,Estimated_Total_Cost,Finishing_Category
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2818,Modern Chandelier,Not Applicable,High: > 2252,1,2818,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2343,Modern Chandelier,Not Applicable,High: > 2252,1,2343,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1467,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1467,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1803,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1803,Electrical
Opple,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,73,LED Spotlight,Not Applicable,Low: <= 174,4,292,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1785,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1785,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3355,Modern Chandelier,Not Applicable,High: > 2252,1,3355,Electrical
Philips,LED Bulb,Electrical,9W,Bedrooms,9,Low,7.2,Piece,Per_Room,4,Bedroom,False,77,LED Bulb,Not Applicable,Low: <= 174,4,308,Electrical
Osram,LED Bulb,Electrical,9W,Bedrooms,9,Low,7.2,Piece,Per_Room,4,Bedroom,False,77,LED Bulb,Not Applicable,Low: <= 174,4,308,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2579,Modern Chandelier,Not Applicable,High: > 2252,1,2579,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1970,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1970,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,2202,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,2202,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1307,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1307,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2254,Modern Chandelier,Not Applicable,High: > 2252,1,2254,Electrical
Osram,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,145,LED Spotlight,Not Applicable,Low: <= 174,4,580,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1393,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1393,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,2036,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,2036,Electrical
Osram,LED Bulb,Electrical,9W,Bedrooms,9,Low,7.2,Piece,Per_Room,4,Bedroom,False,117,LED Bulb,Not Applicable,Low: <= 174,4,468,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3356,Modern Chandelier,Not Applicable,High: > 2252,1,3356,Electrical
El Sewedy Electric,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,56,LED Downlight,Not Applicable,Low: <= 174,8,448,Electrical
Philips,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,57,LED Downlight,Not Applicable,Low: <= 174,8,456,Electrical
Philips,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,120,LED Downlight,Not Applicable,Low: <= 174,8,960,Electrical
Philips,LED Bulb,Electrical,9W,Bedrooms,9,Low,7.2,Piece,Per_Room,4,Bedroom,False,142,LED Bulb,Not Applicable,Low: <= 174,4,568,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3043,Modern Chandelier,Not Applicable,High: > 2252,1,3043,Electrical
Opple,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,142,LED Downlight,Not Applicable,Low: <= 174,8,1136,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1436,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1436,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3162,Modern Chandelier,Not Applicable,High: > 2252,1,3162,Electrical
Venus Electric,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,162,LED Downlight,Not Applicable,Low: <= 174,8,1296,Electrical
Venus Electric,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,125,LED Spotlight,Not Applicable,Low: <= 174,4,500,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,2096,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,2096,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2985,Modern Chandelier,Not Applicable,High: > 2252,1,2985,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2533,Modern Chandelier,Not Applicable,High: > 2252,1,2533,Electrical
Osram,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,104,LED Downlight,Not Applicable,Low: <= 174,8,832,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2554,Modern Chandelier,Not Applicable,High: > 2252,1,2554,Electrical
Opple,LED Bulb,Electrical,9W,Bedrooms,9,Low,7.2,Piece,Per_Room,4,Bedroom,False,148,LED Bulb,Not Applicable,Low: <= 174,4,592,Electrical
Venus Electric,LED Bulb,Electrical,9W,Bedrooms,9,Low,7.2,Piece,Per_Room,4,Bedroom,False,92,LED Bulb,Not Applicable,Low: <= 174,4,368,Electrical
Venus Electric,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,75,LED Downlight,Not Applicable,Low: <= 174,8,600,Electrical
Opple,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,74,LED Spotlight,Not Applicable,Low: <= 174,4,296,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3365,Modern Chandelier,Not Applicable,High: > 2252,1,3365,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2628,Modern Chandelier,Not Applicable,High: > 2252,1,2628,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2950,Modern Chandelier,Not Applicable,High: > 2252,1,2950,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,2191,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,2191,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,2170,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,2170,Electrical
Philips,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,139,LED Downlight,Not Applicable,Low: <= 174,8,1112,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1237,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1237,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1779,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1779,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1536,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1536,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1201,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1201,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2890,Modern Chandelier,Not Applicable,High: > 2252,1,2890,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,2251,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,2251,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3378,Modern Chandelier,Not Applicable,High: > 2252,1,3378,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2335,Modern Chandelier,Not Applicable,High: > 2252,1,2335,Electrical
Opple,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,125,LED Downlight,Not Applicable,Low: <= 174,8,1000,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3005,Modern Chandelier,Not Applicable,High: > 2252,1,3005,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2674,Modern Chandelier,Not Applicable,High: > 2252,1,2674,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3287,Modern Chandelier,Not Applicable,High: > 2252,1,3287,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3310,Modern Chandelier,Not Applicable,High: > 2252,1,3310,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2598,Modern Chandelier,Not Applicable,High: > 2252,1,2598,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1428,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1428,Electrical
El Sewedy Electric,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,97,LED Downlight,Not Applicable,Low: <= 174,8,776,Electrical
Opple,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,118,LED Downlight,Not Applicable,Low: <= 174,8,944,Electrical
Osram,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,162,LED Spotlight,Not Applicable,Low: <= 174,4,648,Electrical
Osram,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,161,LED Spotlight,Not Applicable,Low: <= 174,4,644,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1675,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1675,Electrical
Opple,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,111,LED Downlight,Not Applicable,Low: <= 174,8,888,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2616,Modern Chandelier,Not Applicable,High: > 2252,1,2616,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1710,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1710,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1466,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1466,Electrical
Venus Electric,LED Bulb,Electrical,9W,Bedrooms,9,Low,7.2,Piece,Per_Room,4,Bedroom,False,124,LED Bulb,Not Applicable,Low: <= 174,4,496,Electrical
Osram,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,93,LED Downlight,Not Applicable,Low: <= 174,8,744,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,2022,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,2022,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3121,Modern Chandelier,Not Applicable,High: > 2252,1,3121,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1720,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1720,Electrical
Opple,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,97,LED Downlight,Not Applicable,Low: <= 174,8,776,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2953,Modern Chandelier,Not Applicable,High: > 2252,1,2953,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2810,Modern Chandelier,Not Applicable,High: > 2252,1,2810,Electrical
Philips,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,138,LED Downlight,Not Applicable,Low: <= 174,8,1104,Electrical
El Sewedy Electric,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,140,LED Spotlight,Not Applicable,Low: <= 174,4,560,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2738,Modern Chandelier,Not Applicable,High: > 2252,1,2738,Electrical
Osram,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,110,LED Downlight,Not Applicable,Low: <= 174,8,880,Electrical
El Sewedy Electric,LED Bulb,Electrical,9W,Bedrooms,9,Low,7.2,Piece,Per_Room,4,Bedroom,False,88,LED Bulb,Not Applicable,Low: <= 174,4,352,Electrical
Osram,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,124,LED Spotlight,Not Applicable,Low: <= 174,4,496,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1479,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1479,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,2244,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,2244,Electrical
Venus Electric,LED Bulb,Electrical,9W,Bedrooms,9,Low,7.2,Piece,Per_Room,4,Bedroom,False,108,LED Bulb,Not Applicable,Low: <= 174,4,432,Electrical
Opple,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,81,LED Downlight,Not Applicable,Low: <= 174,8,648,Electrical
Opple,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,160,LED Downlight,Not Applicable,Low: <= 174,8,1280,Electrical
Philips,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,66,LED Spotlight,Not Applicable,Low: <= 174,4,264,Electrical
Venus Electric,LED Bulb,Electrical,9W,Bedrooms,9,Low,7.2,Piece,Per_Room,4,Bedroom,False,94,LED Bulb,Not Applicable,Low: <= 174,4,376,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,2209,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,2209,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,2154,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,2154,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3009,Modern Chandelier,Not Applicable,High: > 2252,1,3009,Electrical
Opple,LED Downlight,Electrical,18W Recessed,Reception,18,Medium,8.8,Piece,Per_Reception,8,Reception,False,177,LED Downlight,Not Applicable,Medium: 174 - 2252,8,1416,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1470,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1470,Electrical
Venus Electric,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,100,LED Downlight,Not Applicable,Low: <= 174,8,800,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1975,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1975,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1623,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1623,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1808,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1808,Electrical
Philips,LED Bulb,Electrical,9W,Bedrooms,9,Low,7.2,Piece,Per_Room,4,Bedroom,False,99,LED Bulb,Not Applicable,Low: <= 174,4,396,Electrical
Opple,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,69,LED Spotlight,Not Applicable,Low: <= 174,4,276,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2997,Modern Chandelier,Not Applicable,High: > 2252,1,2997,Electrical
Opple,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,70,LED Spotlight,Not Applicable,Low: <= 174,4,280,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3359,Modern Chandelier,Not Applicable,High: > 2252,1,3359,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3368,Modern Chandelier,Not Applicable,High: > 2252,1,3368,Electrical
Venus Electric,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,156,LED Downlight,Not Applicable,Low: <= 174,8,1248,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1342,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1342,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2816,Modern Chandelier,Not Applicable,High: > 2252,1,2816,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3292,Modern Chandelier,Not Applicable,High: > 2252,1,3292,Electrical
Philips,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,78,LED Spotlight,Not Applicable,Low: <= 174,4,312,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2521,Modern Chandelier,Not Applicable,High: > 2252,1,2521,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1882,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1882,Electrical
Opple,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,135,LED Downlight,Not Applicable,Low: <= 174,8,1080,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1436,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1436,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,2180,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,2180,Electrical
El Sewedy Electric,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,124,LED Downlight,Not Applicable,Low: <= 174,8,992,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2269,Modern Chandelier,Not Applicable,High: > 2252,1,2269,Electrical
El Sewedy Electric,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,78,LED Spotlight,Not Applicable,Low: <= 174,4,312,Electrical
Osram,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3131,Modern Chandelier,Not Applicable,High: > 2252,1,3131,Electrical
Osram,LED Downlight,Electrical,18W Recessed,Reception,18,Medium,8.8,Piece,Per_Reception,8,Reception,False,174,LED Downlight,Not Applicable,Medium: 174 - 2252,8,1392,Electrical
Philips,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1963,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1963,Electrical
Philips,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,89,LED Downlight,Not Applicable,Low: <= 174,8,712,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2600,Modern Chandelier,Not Applicable,High: > 2252,1,2600,Electrical
El Sewedy Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,2338,Modern Chandelier,Not Applicable,High: > 2252,1,2338,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1339,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1339,Electrical
Venus Electric,Modern Chandelier,Electrical,6 Lights LED,Reception,36,Medium,8.5,Piece,Per_Reception,1,Reception,True,1543,Modern Chandelier,Not Applicable,Medium: 174 - 2252,1,1543,Electrical
El Sewedy Electric,LED Spotlight,Electrical,7W Recessed,Bedrooms,7,Low,7.5,Piece,Per_Room,4,Bedroom,False,57,LED Spotlight,Not Applicable,Low: <= 174,4,228,Electrical
Opple,Modern Chandelier,Electrical,6 Lights LED,Reception,36,High,8.5,Piece,Per_Reception,1,Reception,True,3419,Modern Chandelier,Not Applicable,High: > 2252,1,3419,Electrical
Opple,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,129,LED Downlight,Not Applicable,Low: <= 174,8,1032,Electrical
Osram,LED Downlight,Electrical,18W Recessed,Reception,18,Low,8.8,Piece,Per_Reception,8,Reception,False,108,LED Downlight,Not Applicable,Low: <= 174,8,864,Electrical
